userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveledHeadset,totalDistanceTraveledCameraRig,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_1FDqGwZC9V0tMb9,Reflective,Main,0.02,0,0,-35.14697,44.84061,-15.02655,-35.16,43.152,-14.71,-35.16,43.152,-14.71,5.060662,337.0037,356.3064,5.061,-22.996,-3.694,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1FDqGwZC9V0tMb9,Reflective,Main,0.4141699,0.03672021,0,-35.11234,44.83965,-15.01441,-35.39718,43.98686,-14.90492,-34.94287,43.95458,-14.90891,4.792847,2.433081,358.8471,4.793,2.433,-1.153,30.7196,359.9216,357.7336,30.72,-0.078,-2.266,30.65321,344.4889,1.391664,30.653,-15.511,1.392,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1FDqGwZC9V0tMb9,Reflective,Main,0.7991805,0.1072598,0,-35.15222,44.78563,-14.99499,-35.39841,43.9951,-14.90492,-34.95019,43.9536,-14.90799,32.61077,340.368,354.5089,32.611,-19.632,-5.491,28.44594,358.0334,358.347,28.446,-1.967,-1.653,30.35702,342.1815,1.388639,30.357,-17.818,1.389,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1FDqGwZC9V0tMb9,Reflective,Main,0.9626348,0.1374566,0,-35.17345,44.76558,-14.99281,-35.40432,43.99307,-14.91864,-34.96304,43.94984,-14.91173,40.32182,328.144,350.1009,40.322,-31.856,-9.899,29.36259,355.4555,358.0602,29.363,-4.544,-1.94,31.65847,337.7724,0.9007338,31.659,-22.228,0.901,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1FDqGwZC9V0tMb9,Reflective,Main,1.117497,0.1636091,0,-35.1888,44.74525,-14.99094,-35.40532,43.99329,-14.9252,-34.97039,43.9549,-14.90592,45.63369,319.6794,345.8586,45.634,-40.321,-14.141,28.92185,354.4291,358.2687,28.922,-5.571,-1.731,29.80514,337.325,0.1581733,29.805,-22.675,0.158,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1FDqGwZC9V0tMb9,Reflective,Main,1.281821,0.1977564,0,-35.22042,44.74279,-15.00137,-35.40804,43.9945,-14.93686,-34.97776,43.94468,-14.91734,43.68771,300.2833,338.2936,43.688,-59.717,-21.706,28.27244,351.7593,358.86,28.272,-8.241,-1.14,32.14327,333.6412,-0.0003156073,32.143,-26.359,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1FDqGwZC9V0tMb9,Reflective,Main,1.414247,0.2217374,0,-35.24059,44.75029,-15.01167,-35.41367,43.99323,-14.95851,-34.98949,43.93548,-14.92474,39.19978,290.9391,337.9012,39.2,-69.061,-22.099,28.42985,348.0362,359.1371,28.43,-11.964,-0.863,35.15726,327.5851,359.5603,35.157,-32.415,-0.44,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1FDqGwZC9V0tMb9,Reflective,Main,1.548776,0.2317881,0,-35.24882,44.754,-15.01549,-35.41998,43.98732,-14.98615,-35.009,43.94067,-14.90898,38.18731,291.3116,340.9913,38.187,-68.688,-19.009,29.36223,343.9441,359.2121,29.362,-16.056,-0.788,34.20277,323.9091,359.6203,34.203,-36.091,-0.38,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1FDqGwZC9V0tMb9,Reflective,Main,1.69329,0.2366006,0,-35.2492,44.75602,-15.01206,-35.41824,43.97426,-15.01579,-35.03151,43.95336,-14.88906,38.52454,298.5758,345.9365,38.525,-61.424,-14.064,30.69221,340.7577,359.2487,30.692,-19.242,-0.751,31.50067,321.6028,359.6273,31.501,-38.397,-0.373,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1FDqGwZC9V0tMb9,Reflective,Main,1.873586,0.243304,0,-35.24784,44.7556,-15.00563,-35.40505,43.95545,-15.04243,-35.043,43.96015,-14.87997,39.49676,305.4721,349.5542,39.497,-54.528,-10.446,31.17994,339.7209,359.4935,31.18,-20.279,-0.506,30.39902,320.7762,359.8075,30.399,-39.224,-0.192,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
