userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveledHeadset,totalDistanceTraveledCameraRig,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_1HdDIgWXobHpPYK,Reflective,Main,0.02,0,0,-35.2165,44.89096,-15.45855,-35.16,43.152,-14.71,-35.16,43.152,-14.71,19.98897,358.565,358.4586,19.989,-1.435,-1.541,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,0.4595299,0.1221317,0,-35.16973,44.95206,-15.55136,-35.3699,43.96827,-15.44774,-34.89126,43.92879,-15.52098,345.1261,358.511,357.4178,-14.874,-1.489,-2.582,43.35568,5.332481,327.1917,43.356,5.332,-32.808,53.94,21.43162,63.75437,53.94,21.432,63.754,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,0.7635595,0.1970397,0,-35.09676,44.94327,-15.55187,-35.26404,43.966,-15.43524,-34.84285,43.92472,-15.52106,344.2856,352.5255,0.1499611,-15.714,-7.474,0.15,41.84851,15.43928,336.1494,41.849,15.439,-23.851,55.48013,12.86826,58.84786,55.48,12.868,58.848,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,0.9268147,0.2341319,0,-35.06429,44.94072,-15.53446,-35.29414,43.98921,-15.42127,-34.83527,43.914,-15.52431,347.3629,351.3593,357.6556,-12.637,-8.641001,-2.344,38.03745,2.360946,334.69,38.037,2.361,-25.31,58.09635,6.898586,60.05718,58.096,6.899,60.057,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,1.092148,0.2656626,0,-35.06043,44.91615,-15.52059,-35.32156,43.99559,-15.43132,-34.83943,43.90565,-15.51211,3.322561,353.037,355.9589,3.323,-6.963,-4.041,38.64032,358.5166,329.9165,38.64,-1.483,-30.084,57.29609,8.172863,61.82827,57.296,8.173,61.828,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,1.255859,0.3118559,0,-35.09557,44.8911,-15.50819,-35.33736,43.97504,-15.44768,-34.86436,43.9119,-15.49345,17.35221,354.8534,356.5887,17.352,-5.147,-3.411,49.45,9.657199,325.2423,49.45,9.657001,-34.758,52.07787,19.47404,61.88342,52.078,19.474,61.883,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,1.428955,0.3656255,0,-35.14362,44.87982,-15.48714,-35.35967,43.98414,-15.39537,-34.91004,43.91417,-15.5073,23.12333,353.4872,356.2166,23.123,-6.513,-3.783,42.37506,13.40145,322.0883,42.375,13.401,-37.912,52.35582,21.66701,61.93378,52.356,21.667,61.934,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,1.593373,0.4087211,0,-35.17956,44.86061,-15.47395,-35.36678,43.99702,-15.37164,-34.91383,43.91768,-15.51323,31.91822,353.8554,356.7941,31.918,-6.145,-3.206,33.26259,8.093217,330.1222,33.263,8.093,-29.878,56.36724,21.51521,66.18169,56.367,21.515,66.18201,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,1.765477,0.4383671,0,-35.20812,44.85866,-15.46779,-35.38283,43.97126,-15.41249,-34.93199,43.92932,-15.50361,32.9053,350.7987,357.0938,32.905,-9.201,-2.906,40.23678,10.38376,329.3233,40.237,10.384,-30.677,53.34212,19.06719,65.38058,53.342,19.067,65.381,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,1.909015,0.4576969,0,-35.22643,44.85695,-15.47085,-35.40565,43.96613,-15.42934,-34.93269,43.92816,-15.50619,32.90735,340.6815,353.673,32.907,-19.319,-6.327,43.34658,6.157881,330.5796,43.347,6.158,-29.42,53.18,18.84491,66.7639,53.18,18.845,66.764,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,2.080048,0.4730747,0,-35.22294,44.8444,-15.47009,-35.41897,43.96437,-15.43275,-34.92326,43.92545,-15.512,37.83775,341.9598,354.9718,37.838,-18.04,-5.028,43.08989,2.066513,328.7846,43.09,2.067,-31.215,54.55713,22.11989,66.40954,54.557,22.12,66.41,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,2.215333,0.4810643,0,-35.21879,44.84777,-15.46471,-35.41842,43.96618,-15.42868,-34.92226,43.92562,-15.51225,35.70297,342.7459,355.4628,35.703,-17.254,-4.537,41.94503,358.4087,329.9225,41.945,-1.591,-30.078,54.65291,21.34527,66.15783,54.653,21.345,66.158,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1HdDIgWXobHpPYK,Reflective,Main,2.355362,0.4927442,0,-35.22444,44.85649,-15.46231,-35.41092,43.96595,-15.42954,-34.9206,43.92508,-15.51039,30.80451,336.3634,351.9043,30.805,-23.637,-8.096001,43.01995,357.7758,333.3795,43.02,-2.224,-26.621,54.84949,20.24426,66.77871,54.849,20.244,66.77901,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
