userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveledHeadset,totalDistanceTraveledCameraRig,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_2D7d48jYbEtrP85,Reflective,Intro,0.02,0,0,-34.67616,44.91278,-15.02896,-35.16,43.152,-14.71,-35.16,43.152,-14.71,15.14361,343.2999,354.8091,15.144,-16.7,-5.191,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2D7d48jYbEtrP85,Reflective,Intro,0.4135937,0.1283771,0,-34.54952,44.89658,-15.0425,-34.62416,44.07317,-14.82987,-34.36805,43.92471,-14.95154,2.749587,351.5791,350.7743,2.75,-8.421,-9.226001,1.532831,14.37203,29.6543,1.533,14.372,29.654,41.26557,335.6161,38.48762,41.266,-24.384,38.488,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2D7d48jYbEtrP85,Reflective,Intro,0.7421582,0.1794807,0,-34.51992,44.87204,-15.032,-34.59918,44.06108,-14.84962,-34.34873,43.93195,-14.9333,18.02272,354.0209,356.1175,18.023,-5.979,-3.883,3.495887,37.46542,18.97543,3.496,37.465,18.975,36.12672,342.5413,33.87733,36.127,-17.459,33.877,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2D7d48jYbEtrP85,Reflective,Intro,0.8850216,0.1963854,0,-34.51815,44.85606,-15.02724,-34.60014,44.05823,-14.85202,-34.34782,43.93386,-14.92766,24.99607,352.137,356.6547,24.996,-7.863,-3.345,5.170413,34.01494,21.69884,5.17,34.015,21.699,33.09858,342.4219,33.13707,33.099,-17.578,33.137,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2D7d48jYbEtrP85,Reflective,Intro,1.026579,0.2094204,0,-34.51593,44.84488,-15.02133,-34.6019,44.06984,-14.84848,-34.35249,43.95574,-14.90455,29.82665,352.4482,355.8334,29.827,-7.552001,-4.167,3.851046,25.34655,14.59709,3.851,25.347,14.597,23.33639,341.6744,35.7554,23.336,-18.326,35.755,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2D7d48jYbEtrP85,Reflective,Intro,1.167267,0.2195212,0,-34.51337,44.83908,-15.01358,-34.6119,44.11802,-14.84422,-34.37584,44.04939,-14.85645,31.5834,352.5879,355.9069,31.583,-7.412,-4.093,355.4467,17.28176,2.734427,-4.553,17.282,2.734,4.900278,338.2873,30.4742,4.9,-21.713,30.474,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2D7d48jYbEtrP85,Reflective,Intro,1.318017,0.2267663,0,-34.51406,44.83566,-15.00745,-34.62961,44.19957,-14.84548,-34.40996,44.22269,-14.83662,33.09063,348.9424,356.0457,33.091,-11.058,-3.954,343.3375,9.081072,3.292697,-16.663,9.081,3.293,336.9789,336.1741,11.05504,-23.021,-23.826,11.055,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2D7d48jYbEtrP85,Reflective,Intro,1.497539,0.2382126,0,-34.52509,44.83727,-15.00861,-34.61921,44.27019,-14.86563,-34.44343,44.32393,-14.84371,32.31246,340.4309,356.1258,32.312,-19.569,-3.874,329.4303,14.06893,345.5808,-30.57,14.069,-14.419,324.4441,332.4164,6.832525,-35.556,-27.584,6.833,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2D7d48jYbEtrP85,Reflective,Intro,1.636984,0.262883,0,-34.54837,44.83794,-15.01644,-34.52822,44.2246,-14.9091,-34.45545,44.33585,-14.83914,32.96985,325.3571,353.4768,32.97,-34.643,-6.523,339.5856,5.217649,355.8759,-20.414,5.218,-4.124,327.6489,334.9713,0.7585591,-32.351,-25.029,0.7590001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2D7d48jYbEtrP85,Reflective,Intro,1.792249,0.2899946,0,-34.57343,44.84548,-15.02327,-34.65149,44.28097,-14.87302,-34.44424,44.30605,-14.8098,33.10272,309.5532,350.9892,33.103,-50.447,-9.011001,346.6966,5.411139,355.8029,-13.303,5.411,-4.197,348.4553,350.9277,351.3265,-11.545,-9.072001,-8.673,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
