userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveledHeadset,totalDistanceTraveledCameraRig,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_2uBDCCJNEDknT8X,Reflective,Main,0.02,0,0,-34.89503,44.66601,-15.38194,-35.16,43.152,-14.71,-35.16,43.152,-14.71,1.072024,6.683599,2.397436,1.072,6.684,2.397,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,0.4321049,0.1241137,0,-35.01508,44.65397,-15.41103,-35.12206,44.19969,-15.27009,-34.74676,43.84159,-15.42316,358.8303,8.853213,2.227721,-1.17,8.853001,2.228,354.9573,0.6239569,148.7293,-5.043,0.624,148.729,47.11558,22.99614,40.57788,47.116,22.996,40.578,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,0.7751356,0.1419131,0,-35.0307,44.64915,-15.41614,-35.12073,44.20127,-15.27293,-34.74947,43.84126,-15.42266,0.6958472,1.058813,2.996135,0.696,1.059,2.996,354.8047,0.5978277,148.3149,-5.195,0.598,148.315,46.79153,21.0402,41.28695,46.792,21.04,41.287,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,0.9333202,0.1562637,0,-35.03983,44.63865,-15.41876,-35.12309,44.20509,-15.27567,-34.75232,43.84024,-15.41762,5.701746,355.118,4.018423,5.702,-4.882,4.018,354.0074,359.8942,146.8758,-5.993001,-0.106,146.876,46.77193,18.6775,41.03876,46.772,18.677,41.039,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,1.089009,0.169568,0,-35.04912,44.62926,-15.42002,-35.13538,44.20483,-15.27551,-34.75452,43.84059,-15.41376,9.069991,350.4155,3.767808,9.070001,-9.585,3.768,355.2961,355.2307,140.5675,-4.704,-4.769,140.568,46.19823,16.83407,42.79666,46.198,16.834,42.797,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,1.271269,0.1824491,0,-35.06042,44.62355,-15.4222,-35.18455,44.17665,-15.25802,-34.75833,43.84148,-15.4127,11.68654,345.2666,3.765649,11.687,-14.733,3.766,11.23504,340.3784,103.7869,11.235,-19.622,103.787,49.93763,11.11529,43.45005,49.938,11.115,43.45,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,1.457253,0.1990392,0,-35.07309,44.61603,-15.42946,-35.24443,44.15587,-15.26608,-34.77295,43.85017,-15.37636,14.89541,336.2025,3.877781,14.895,-23.797,3.878,16.98721,328.3479,77.32451,16.987,-31.652,77.32401,48.75376,2.422725,41.1092,48.754,2.423,41.109,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,1.606785,0.2112516,0,-35.08128,44.61158,-15.43725,-35.27853,44.14859,-15.27845,-34.79775,43.87798,-15.3147,17.49336,328.5848,2.781068,17.493,-31.415,2.781,20.2021,322.8647,49.27419,20.202,-37.135,49.274,44.25326,357.9998,27.50149,44.253,-2,27.501,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,1.74445,0.2195939,0,-35.08394,44.60502,-15.44155,-35.31091,44.14543,-15.29418,-34.84433,43.90958,-15.26549,19.91978,326.161,2.874477,19.92,-33.839,2.874,20.94676,313.7584,34.0754,20.947,-46.242,34.075,39.58957,347.8042,14.27711,39.59,-12.196,14.277,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,1.913372,0.2267734,0,-35.08849,44.60313,-15.44647,-35.3456,44.15862,-15.3145,-34.92218,43.96578,-15.22305,20.02695,323.6659,3.506203,20.027,-36.334,3.506,11.75391,305.1636,18.61727,11.754,-54.836,18.617,31.04489,335.1956,7.41086,31.045,-24.804,7.411,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,2.051173,0.2389317,0,-35.0973,44.60537,-15.45432,-35.37293,44.17949,-15.33006,-34.984,44.03178,-15.2092,18.6689,318.4136,3.818866,18.669,-41.586,3.819,0.789242,300.7097,0.8009999,0.789,-59.29,0.8010001,20.15919,327.7757,4.336921,20.159,-32.224,4.337,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,2.215007,0.2491915,0,-35.10114,44.60868,-15.46313,-35.39776,44.20044,-15.34452,-35.03205,44.10723,-15.21466,16.68674,315.205,3.020982,16.687,-44.795,3.021,351.2164,301.4398,348.5437,-8.784,-58.56,-11.456,7.098419,321.1114,0.08305738,7.098001,-38.889,0.083,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,2.354713,0.2561952,0,-35.10274,44.61089,-15.46936,-35.41591,44.21475,-15.35213,-35.05096,44.15548,-15.21816,15.38271,314.0156,3.492831,15.383,-45.984,3.493,350.1188,299.598,346.451,-9.881001,-60.402,-13.549,359.0757,320.0784,359.2566,-0.924,-39.922,-0.743,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,2.544466,0.2693177,0,-35.10575,44.62062,-15.47685,-35.40691,44.26162,-15.34254,-35.06474,44.20125,-15.23222,10.13144,311.1275,3.962241,10.131,-48.872,3.962,338.7527,303.8792,348.6527,-21.247,-56.121,-11.347,350.9782,320.0445,359.7008,-9.022,-39.955,-0.299,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,2.68202,0.2785487,0,-35.10214,44.6286,-15.47645,-35.39621,44.27363,-15.32601,-35.0733,44.21729,-15.24494,6.526121,311.568,2.987572,6.526,-48.432,2.988,336.5399,306.3699,351.1559,-23.46,-53.63,-8.844001,354.2603,319.3915,1.27072,-5.74,-40.609,1.271,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2uBDCCJNEDknT8X,Reflective,Main,2.852326,0.2877492,0,-35.09717,44.63381,-15.47095,-35.38072,44.28384,-15.30599,-35.07615,44.25258,-15.26776,4.229903,313.4289,2.824254,4.23,-46.571,2.824,334.111,309.2424,353.6416,-25.889,-50.758,-6.358,350.4654,315.1794,4.215528,-9.535001,-44.821,4.216,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
