userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveledHeadset,totalDistanceTraveledCameraRig,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_2wtwzDaXUbaJTO0,Reflective,Main,0.02,0,0,-34.81653,44.85435,-14.98005,-35.16,43.152,-14.71,-35.16,43.152,-14.71,8.978535,354.7016,0.6220846,8.979,-5.298,0.622,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2wtwzDaXUbaJTO0,Reflective,Main,0.4206571,0.08169144,0,-34.89611,44.86384,-14.98306,-34.99445,44.33138,-14.76704,-34.80285,44.38271,-14.76209,2.185995,355,1.540655,2.186,-5,1.541,358.3009,350.2222,10.95286,-1.699,-9.778001,10.953,356.4827,353.8001,3.406345,-3.517,-6.2,3.406,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2wtwzDaXUbaJTO0,Reflective,Main,0.7823864,0.1129855,0,-34.9039,44.83796,-14.97595,-35.0074,44.3279,-14.77175,-34.78783,44.42227,-14.76095,16.8201,349.5985,1.539714,16.82,-10.402,1.54,358.4494,348.018,9.482705,-1.551,-11.982,9.483001,358.2632,352.5163,11.02538,-1.737,-7.484,11.025,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2wtwzDaXUbaJTO0,Reflective,Main,0.9160318,0.1184975,0,-34.90861,44.83603,-14.97741,-35.02527,44.31741,-14.76982,-34.78415,44.42326,-14.7606,18.26383,346.2834,1.68131,18.264,-13.717,1.681,358.9701,346.0011,6.881432,-1.03,-13.999,6.881001,357.2531,351.926,6.296786,-2.747,-8.074,6.297,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2wtwzDaXUbaJTO0,Reflective,Main,1.064761,0.1259796,0,-34.91344,44.83063,-14.97908,-35.05882,44.29704,-14.76525,-34.76162,44.4234,-14.76863,21.09562,343.4155,1.385601,21.096,-16.585,1.386,0.6673852,341.8214,358.6563,0.6670001,-18.179,-1.344,358.2502,350.0057,10.31862,-1.75,-9.994,10.319,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2wtwzDaXUbaJTO0,Reflective,Main,1.210041,0.1301515,0,-34.91574,44.82954,-14.9815,-35.08645,44.32571,-14.74519,-34.78503,44.43687,-14.76489,21.7057,343.2185,1.299644,21.706,-16.782,1.3,353.3545,339.8852,359.4236,-6.646,-20.115,-0.576,357.9813,349.1325,8.667812,-2.019,-10.867,8.668,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2wtwzDaXUbaJTO0,Reflective,Main,1.365004,0.138188,0,-34.91804,44.8307,-14.98895,-35.11042,44.39965,-14.72099,-34.75415,44.44631,-14.77312,21.26217,342.8732,1.447629,21.262,-17.127,1.448,342.415,336.3418,6.712416,-17.585,-23.658,6.712,358.7121,346.4398,14.27867,-1.288,-13.56,14.279,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2wtwzDaXUbaJTO0,Reflective,Main,1.506602,0.1443542,0,-34.91803,44.82539,-14.99168,-35.11989,44.43943,-14.72251,-34.75803,44.47465,-14.76964,23.54241,342.5543,0.9905437,23.542,-17.446,0.9910001,337.3692,333.5241,9.101836,-22.631,-26.476,9.102,355.8941,346.8145,11.38577,-4.106,-13.186,11.386,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2wtwzDaXUbaJTO0,Reflective,Main,1.680895,0.1790678,0.03216746,-34.91444,44.81213,-15.0225,-35.12715,44.43354,-14.7689,-34.74066,44.47113,-14.80479,28.05716,342.4034,0.6868079,28.057,-17.597,0.687,339.6693,331.37,8.481259,-20.331,-28.63,8.481,353.3427,349.0207,5.964605,-6.657001,-10.979,5.965,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_2wtwzDaXUbaJTO0,Reflective,Main,1.86154,0.2157491,0.0661654,-34.91148,44.80357,-15.05696,-35.13294,44.42339,-14.80688,-34.73861,44.46944,-14.83742,30.44067,343.2083,1.008141,30.441,-16.792,1.008,341.9479,330.605,9.166113,-18.052,-29.395,9.166,351.1728,349.5113,5.720397,-8.827001,-10.489,5.72,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
