userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveledHeadset,totalDistanceTraveledCameraRig,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_30kMgBBVqZ4qRmu,Reflective,Intro,0.02,0,0,-35.36533,44.71798,-15.31228,-35.16,43.152,-14.71,-35.16,43.152,-14.71,31.93147,19.17413,3.746603,31.932,19.174,3.747,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_30kMgBBVqZ4qRmu,Reflective,Intro,0.4197987,0.08412553,0,-35.36709,44.79917,-15.33474,-35.39294,44.35044,-15.07709,-35.1996,44.30778,-15.17245,357.9979,19.57658,1.538938,-2.002,19.577,1.539,324.882,9.998861,1.488156,-35.118,9.999001,1.488,338.332,26.46312,358.0305,-21.668,26.463,-1.969,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_30kMgBBVqZ4qRmu,Reflective,Intro,0.7787682,0.1018358,0,-35.37499,44.79707,-15.32122,-35.41985,44.37076,-15.03923,-35.20998,44.30334,-15.16249,359.4894,11.39119,2.628491,-0.511,11.391,2.628,324.414,9.6345,0.8370331,-35.586,9.635,0.837,339.2465,24.76739,356.9055,-20.753,24.767,-3.094,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_30kMgBBVqZ4qRmu,Reflective,Intro,0.9523118,0.108199,0,-35.37628,44.79453,-15.31558,-35.40196,44.36075,-15.06334,-35.21185,44.30635,-15.15462,1.394009,8.415861,3.717322,1.394,8.416,3.717,324.0238,7.670526,1.15771,-35.976,7.671,1.158,338.8451,22.84451,356.9922,-21.155,22.844,-3.008,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_30kMgBBVqZ4qRmu,Reflective,Intro,1.129884,0.1122429,0,-35.37777,44.7952,-15.31202,-35.40728,44.35996,-15.0649,-35.21593,44.30659,-15.14681,1.650501,4.422877,4.031554,1.65,4.423,4.032,324.4912,5.218576,1.690949,-35.509,5.219,1.691,339.095,20.36355,357.0901,-20.905,20.364,-2.91,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_30kMgBBVqZ4qRmu,Reflective,Intro,1.286623,0.1134698,0,-35.37717,44.79584,-15.31263,-35.41426,44.36134,-15.06658,-35.22046,44.3091,-15.1409,1.695858,2.488416,3.994506,1.696,2.488,3.995,324.4577,3.352026,1.791903,-35.542,3.352,1.792,338.7575,18.31218,357.0745,-21.242,18.312,-2.926,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_30kMgBBVqZ4qRmu,Reflective,Intro,1.457542,0.1165489,0,-35.37859,44.79548,-15.31499,-35.42036,44.36354,-15.07071,-35.22409,44.3108,-15.13811,2.140494,0.548493,4.093158,2.14,0.548,4.093,324.1877,1.737573,2.02957,-35.812,1.738,2.03,338.5526,17.0877,356.8771,-21.447,17.088,-3.123,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_30kMgBBVqZ4qRmu,Reflective,Intro,1.595763,0.1224207,0,-35.38328,44.79564,-15.31848,-35.42658,44.36573,-15.07523,-35.22994,44.31117,-15.13619,2.036291,358.1115,4.262195,2.036,-1.889,4.262,323.8303,0.5554737,2.174237,-36.17,0.555,2.174,338.6054,15.96068,356.7026,-21.395,15.961,-3.297,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_30kMgBBVqZ4qRmu,Reflective,Intro,1.767048,0.1339815,0,-35.39302,44.79179,-15.32322,-35.43953,44.36654,-15.08624,-35.24419,44.31231,-15.13311,3.735658,353.8314,4.536369,3.736,-6.169,4.536,323.5077,358.3799,2.072988,-36.492,-1.62,2.073,338.3237,13.39818,356.6381,-21.676,13.398,-3.362,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_30kMgBBVqZ4qRmu,Reflective,Intro,1.897878,0.1469204,0,-35.40234,44.78409,-15.32774,-35.45158,44.36484,-15.09988,-35.25705,44.31255,-15.13188,7.684378,349.7755,4.952507,7.684,-10.224,4.953,323.4692,355.9942,1.952898,-36.531,-4.006,1.953,338.1653,11.03594,356.4832,-21.835,11.036,-3.517,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
