userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveledHeadset,totalDistanceTraveledCameraRig,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_31LEaO4M8esDdPH,Reflective,Intro,0.02,0,0,-34.74331,44.79262,-15.50809,-35.16,43.152,-14.71,-35.16,43.152,-14.71,4.473991,5.361927,357.8729,4.474,5.362,-2.127,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_31LEaO4M8esDdPH,Reflective,Intro,0.4352301,0.02615587,0,-34.72426,44.79752,-15.49043,-34.885,44.41921,-15.26987,-34.70859,44.43199,-15.25579,2.133498,356.4451,354.8069,2.133,-3.555,-5.193,326.4894,355.5822,352.2054,-33.511,-4.418,-7.795001,326.7956,357.9214,0.7132872,-33.204,-2.079,0.7130001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_31LEaO4M8esDdPH,Reflective,Intro,0.8174998,0.155075,0,-34.85263,44.80216,-15.48355,-34.95338,44.41475,-15.26386,-34.77496,44.43409,-15.24355,0.3937905,342.1727,355.9524,0.394,-17.827,-4.048,327.2179,351.3286,352.7287,-32.782,-8.671,-7.271,326.2287,354.333,1.448476,-33.771,-5.667,1.448,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_31LEaO4M8esDdPH,Reflective,Intro,0.952195,0.1807817,0,-34.87668,44.80037,-15.49203,-34.97014,44.41928,-15.26549,-34.79093,44.43323,-15.23707,0.9638654,326.3376,355.0245,0.964,-33.662,-4.975,326.4818,350.4383,350.8996,-33.518,-9.562,-9.1,325.9666,353.4421,0.1627643,-34.033,-6.558,0.163,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_31LEaO4M8esDdPH,Reflective,Intro,1.10956,0.1889292,0,-34.87233,44.80206,-15.4925,-34.98971,44.42436,-15.27099,-34.81134,44.43474,-15.22811,0.1891811,325.4978,356.5263,0.189,-34.502,-3.474,325.7608,347.8447,349.4445,-34.239,-12.155,-10.555,325.5543,350.9387,358.9718,-34.446,-9.061001,-1.028,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_31LEaO4M8esDdPH,Reflective,Intro,1.255124,0.2067133,0,-34.85468,44.80296,-15.49071,-35.0096,44.42825,-15.27755,-34.83223,44.44233,-15.22741,358.7708,329.5566,354.7854,-1.229,-30.443,-5.215,325.4237,344.7271,348.6902,-34.576,-15.273,-11.31,323.8632,347.6011,358.1954,-36.137,-12.399,-1.805,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_31LEaO4M8esDdPH,Reflective,Intro,1.424603,0.2218439,0,-34.83974,44.80154,-15.49054,-35.03863,44.43778,-15.27403,-34.83018,44.44522,-15.23558,359.1673,334.2295,353.9308,-0.8330001,-25.77,-6.069,324.6183,338.1576,351.1763,-35.382,-21.842,-8.824,321.3503,339.9938,5.411679,-38.65,-20.006,5.412,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_31LEaO4M8esDdPH,Reflective,Intro,1.562003,0.2272523,0,-34.8371,44.80046,-15.49459,-35.04154,44.44166,-15.26568,-34.82647,44.47181,-15.22944,359.7199,335.5776,354.4236,-0.28,-24.422,-5.576,324.9481,336.6082,353.7847,-35.052,-23.392,-6.215,318.5018,335.2935,14.58903,-41.498,-24.707,14.589,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_31LEaO4M8esDdPH,Reflective,Intro,1.700275,0.2368716,0,-34.83838,44.79961,-15.50407,-35.02511,44.46414,-15.23851,-34.81087,44.50004,-15.20551,0.7080832,337.8335,355.2517,0.708,-22.166,-4.748,320.6649,341.4228,352.8582,-39.335,-18.577,-7.142,314.0615,335.7731,21.47095,-45.939,-24.227,21.471,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_31LEaO4M8esDdPH,Reflective,Intro,1.876955,0.2567078,0,-34.83549,44.80064,-15.52333,-35.00443,44.50166,-15.16474,-34.78334,44.54509,-15.14312,0.6343347,343.2127,357.3043,0.634,-16.787,-2.696,315.3688,339.0856,1.066221,-44.631,-20.914,1.066,309.6046,339.0586,24.6738,-50.395,-20.941,24.674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
