userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveledHeadset,totalDistanceTraveledCameraRig,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_3Q0oMNTyHmCrAMk,Reflective,Main,0.02,0,0,-35.66087,44.69095,-15.72983,-35.16,43.152,-14.71,-35.16,43.152,-14.71,6.486313,345.747,358.2159,6.486001,-14.253,-1.784,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,0.4738906,0.008968323,0,-35.66959,44.68949,-15.73203,-35.76843,44.28596,-15.51272,-35.61918,44.28051,-15.49592,5.277161,344.6055,358.6871,5.277,-15.395,-1.313,339.4051,345.5161,11.63852,-20.595,-14.484,11.639,346.5045,354.4221,340.7355,-13.495,-5.578,-19.265,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,0.8348811,0.01909882,0,-35.67367,44.68398,-15.7289,-35.77815,44.28662,-15.50818,-35.61438,44.2878,-15.49419,7.890865,342.041,358.5749,7.891,-17.959,-1.425,340.503,341.7078,9.092472,-19.497,-18.292,9.092,344.7231,353.8848,339.2541,-15.277,-6.115,-20.746,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,1.021887,0.02855184,0,-35.66531,44.68039,-15.72689,-35.78632,44.27513,-15.49487,-35.60428,44.2791,-15.48465,10.25645,347.0708,357.8673,10.256,-12.929,-2.133,345.6841,344.4799,10.33796,-14.316,-15.52,10.338,350.5606,355.9312,342.4998,-9.439,-4.069,-17.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,1.224987,0.0413311,0,-35.6565,44.67457,-15.71999,-35.79639,44.26315,-15.48992,-35.58549,44.27896,-15.47734,13.78536,354.3018,357.8625,13.785,-5.698,-2.138,350.2764,343.8713,9.551395,-9.724001,-16.129,9.551001,348.6714,357.759,350.9449,-11.329,-2.241,-9.055,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,1.430082,0.04517528,0,-35.65618,44.67161,-15.7176,-35.8005,44.26641,-15.48795,-35.558,44.26107,-15.46553,15.75912,355.6165,357.889,15.759,-4.384,-2.111,347.615,345.405,2.843941,-12.385,-14.595,2.844,354.7094,0.9146679,359.2978,-5.291,0.915,-0.702,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,1.632447,0.05239768,0,-35.66154,44.66706,-15.7179,-35.80453,44.27499,-15.48714,-35.557,44.25802,-15.47034,18.50967,350.9188,357.662,18.51,-9.081,-2.338,343.3482,347.432,350.448,-16.652,-12.568,-9.552,356.8317,1.095276,0.06462169,-3.168,1.095,0.06500001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,1.832543,0.05695343,0,-35.66449,44.66552,-15.71482,-35.82202,44.25751,-15.48108,-35.5527,44.24882,-15.47246,19.43578,348.9953,357.285,19.436,-11.005,-2.715,352.5041,344.2886,0.8248485,-7.496,-15.711,0.825,358.4581,1.867241,1.253634,-1.542,1.867,1.254,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,2.034713,0.06225494,0,-35.66927,44.66656,-15.71501,-35.8271,44.25692,-15.48228,-35.55179,44.24862,-15.47302,18.90581,347.4143,357.4734,18.906,-12.586,-2.527,351.204,343.4491,358.1437,-8.796,-16.551,-1.856,358.8609,0.6675053,5.916721,-1.139,0.668,5.917,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,2.236007,0.06940386,0,-35.67439,44.66829,-15.71926,-35.83076,44.25977,-15.48222,-35.55595,44.25148,-15.47059,17.92876,345.1491,357.9235,17.929,-14.851,-2.077,350.7411,341.3261,357.8035,-9.259001,-18.674,-2.197,358.1584,359.8813,4.494777,-1.842,-0.119,4.495,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,2.435398,0.0788509,0,-35.6741,44.67744,-15.71778,-35.83566,44.25918,-15.48328,-35.55706,44.25391,-15.47139,12.2497,344.4993,357.2591,12.25,-15.501,-2.741,350.0735,341.5585,359.7553,-9.926001,-18.442,-0.245,357.6199,359.3475,2.778971,-2.38,-0.6530001,2.779,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,2.636552,0.08726388,0,-35.67747,44.67979,-15.7246,-35.83637,44.26052,-15.48099,-35.56183,44.25587,-15.47097,11.01127,341.3605,357.7455,11.011,-18.64,-2.254,350.0063,343.3422,350.2189,-9.994,-16.658,-9.781,356.5977,357.839,2.946458,-3.402,-2.161,2.946,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Main,2.837187,0.09258092,0,-35.68109,44.67924,-15.72841,-35.84506,44.27275,-15.48173,-35.56604,44.26065,-15.47348,11.64859,338.1531,357.7843,11.649,-21.847,-2.216,347.1613,341.4745,354.0329,-12.839,-18.526,-5.967,354.8853,356.8722,3.070174,-5.115,-3.128,3.07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
