userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveledHeadset,totalDistanceTraveledCameraRig,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_6Xnh8tsrP64NrUZ,Reflective,Intro,0.02,0,0,-35.21851,44.74025,-14.64657,-35.16,43.152,-14.71,-35.16,43.152,-14.71,344.636,1.868253,358.7844,-15.364,1.868,-1.216,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_6Xnh8tsrP64NrUZ,Reflective,Intro,0.405149,0.1408367,0,-35.11153,44.72692,-14.73699,-35.22306,44.34449,-14.62285,-35.07755,44.30705,-14.58683,359.6736,346.9597,358.8517,-0.326,-13.04,-1.148,330.739,5.879868,0.3975674,-29.261,5.88,0.398,336.6814,345.4705,3.7694,-23.319,-14.53,3.769,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_6Xnh8tsrP64NrUZ,Reflective,Intro,0.7607618,0.3623027,0,-35.17762,44.71639,-14.9474,-35.26984,44.30813,-14.76375,-35.10393,44.2728,-14.72789,1.17879,349.9243,356.8189,1.179,-10.076,-3.181,337.5494,5.035344,1.132204,-22.451,5.035,1.132,341.9478,351.2524,0.1834274,-18.052,-8.748,0.183,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_6Xnh8tsrP64NrUZ,Reflective,Intro,0.8900538,0.4016418,0,-35.18321,44.71755,-14.9863,-35.26582,44.30672,-14.80863,-35.10252,44.26884,-14.77474,1.729325,350.7762,356.6603,1.729,-9.224,-3.34,337.9997,8.603168,0.401617,-22,8.603001,0.402,342.3161,351.9251,0.8938491,-17.684,-8.075001,0.8940001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_6Xnh8tsrP64NrUZ,Reflective,Intro,1.025302,0.4398097,0,-35.18204,44.72003,-15.02431,-35.26513,44.30915,-14.84169,-35.09404,44.27107,-14.80881,1.756309,351.9394,356.7988,1.756,-8.061001,-3.201,338.2107,9.322854,0.5891514,-21.789,9.323001,0.589,342.8468,354.5736,359.92,-17.153,-5.426,-0.08000001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_6Xnh8tsrP64NrUZ,Reflective,Intro,1.151513,0.4692132,0,-35.17702,44.72165,-15.05321,-35.26345,44.31212,-14.86081,-35.09011,44.27781,-14.83158,1.550509,352.1828,357.0341,1.551,-7.817,-2.966,338.0415,8.222978,1.003034,-21.958,8.223001,1.003,341.78,353.7382,0.6948937,-18.22,-6.262,0.6950001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_6Xnh8tsrP64NrUZ,Reflective,Intro,1.275921,0.4980523,0,-35.16913,44.7229,-15.08088,-35.25902,44.31843,-14.87363,-35.08126,44.28161,-14.84374,2.150173,350.9399,357.3963,2.15,-9.06,-2.604,337.3405,7.301919,1.479993,-22.659,7.302001,1.48,341.75,353.1531,1.208189,-18.25,-6.847,1.208,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_6Xnh8tsrP64NrUZ,Reflective,Intro,1.418987,0.5329348,0,-35.15422,44.72163,-15.11231,-35.2575,44.33031,-14.87428,-35.06679,44.29099,-14.85013,3.80349,348.6588,358.5129,3.803,-11.341,-1.487,334.7502,2.812308,1.576204,-25.25,2.812,1.576,340.3713,351.5925,2.184366,-19.629,-8.408,2.184,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_6Xnh8tsrP64NrUZ,Reflective,Intro,1.564786,0.5637805,0,-35.13773,44.72327,-15.13828,-35.24751,44.33173,-14.87747,-35.05233,44.30078,-14.85951,4.335363,346.0314,0.1582922,4.335,-13.969,0.158,334.9357,358.8421,1.736852,-25.064,-1.158,1.737,339.4057,349.7717,2.64021,-20.594,-10.228,2.64,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_6Xnh8tsrP64NrUZ,Reflective,Intro,1.719404,0.6154843,0,-35.11224,44.71871,-15.18298,-35.22672,44.32452,-14.88718,-35.03171,44.29988,-14.87305,7.758548,342.6607,0.3902082,7.759,-17.339,0.39,336.8913,357.2889,4.414658,-23.109,-2.711,4.415,339.0059,348.2952,3.850412,-20.994,-11.705,3.85,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
