userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.25374,Far,-28.661,44.641,-5.3419,0.02,0,-34.76421,44.26036,-15.96075,-35.16,43.152,-14.71,-35.16,43.152,-14.71,316.8649,105.1048,4.560707,-43.135,105.105,4.561,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.03807,Far,-28.661,44.641,-5.3419,0.4123269,0.2535419,-34.61903,44.24809,-15.79478,-35.16,43.14921,-14.45925,-35.16,43.14921,-14.45925,318.2494,123.1091,356.3777,-41.751,123.109,-3.622,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.45925,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.95502,Far,-28.661,44.641,-5.3419,0.7347046,0.3383141,-34.61302,44.24723,-15.70245,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,318.516,117.0432,358.3098,-41.484,117.043,-1.69,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.95349,Far,-28.661,44.641,-5.3419,0.8532549,0.3383141,-34.61241,44.24683,-15.70102,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,318.7162,115.7852,358.6567,-41.284,115.785,-1.343,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.95127,Far,-28.661,44.641,-5.3419,0.9842005,0.3383141,-34.60881,44.24465,-15.70044,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,320.4068,113.8836,359.3882,-39.593,113.884,-0.612,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.94871,Far,-28.661,44.641,-5.3419,1.105055,0.3383141,-34.60238,44.24091,-15.70103,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,323.4451,112.3476,359.8688,-36.555,112.348,-0.131,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.94459,Far,-28.661,44.641,-5.3419,1.229019,0.3383141,-34.59426,44.23598,-15.70074,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,326.297,110.2205,359.9811,-33.703,110.22,-0.019,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.9369,Far,-28.661,44.641,-5.3419,1.343134,0.3383141,-34.58492,44.23164,-15.69705,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,328.1729,106.7938,359.3072,-31.827,106.794,-0.693,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.92308,Far,-28.661,44.641,-5.3419,1.479922,0.3383141,-34.57032,44.22505,-15.68921,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,330.3093,103.3126,359.576,-29.691,103.313,-0.424,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90883,Far,-28.661,44.641,-5.3419,1.611106,0.3383141,-34.55661,44.2169,-15.68029,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,332.1386,101.7201,359.785,-27.861,101.72,-0.215,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.89409,Far,-28.661,44.641,-5.3419,1.745495,0.3383141,-34.54556,44.21023,-15.66933,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,333.2489,99.95337,359.9128,-26.751,99.953,-0.087,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.88192,Far,-28.661,44.641,-5.3419,1.880269,0.3383141,-34.53696,44.20633,-15.66006,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,334.3287,98.69,0.08266212,-25.671,98.69,0.083,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.87254,Far,-28.661,44.641,-5.3419,2.013756,0.3383141,-34.53106,44.2034,-15.65248,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,335.0371,97.92799,0.4048997,-24.963,97.928,0.405,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86467,Far,-28.661,44.641,-5.3419,2.136576,0.3383141,-34.52635,44.20063,-15.64599,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,335.9264,96.93208,0.6964038,-24.074,96.93201,0.696,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.85856,Far,-28.661,44.641,-5.3419,2.280751,0.3383141,-34.52318,44.19851,-15.64066,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,336.5353,96.07359,0.7421597,-23.465,96.07401,0.742,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.8561,Far,-28.661,44.641,-5.3419,2.418207,0.3383141,-34.52175,44.19747,-15.6386,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,336.7831,95.97757,0.9259455,-23.217,95.978,0.9260001,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.85575,Far,-28.661,44.641,-5.3419,2.550654,0.3383141,-34.52118,44.19661,-15.63848,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,337.3698,96.24721,0.8887202,-22.63,96.247,0.8890001,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.85679,Far,-28.661,44.641,-5.3419,2.684534,0.3383141,-34.52116,44.19613,-15.63967,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,337.5555,96.88081,1.503755,-22.444,96.881,1.504,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.85967,Far,-28.661,44.641,-5.3419,2.818782,0.3383141,-34.52296,44.19676,-15.64198,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,337.6027,97.62518,1.508861,-22.397,97.62501,1.509,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86282,Far,-28.661,44.641,-5.3419,2.953031,0.3383141,-34.52544,44.19766,-15.64425,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,337.3785,97.83622,1.368143,-22.621,97.83601,1.368,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86591,Far,-28.661,44.641,-5.3419,3.087273,0.3383141,-34.52818,44.1989,-15.64629,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,336.9842,98.10012,1.53892,-23.016,98.10001,1.539,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.86858,Far,-28.661,44.641,-5.3419,3.218663,0.3383141,-34.5302,44.19949,-15.64824,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,336.8155,98.44184,1.749072,-23.185,98.442,1.749,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.87135,Far,-28.661,44.641,-5.3419,3.341725,0.3383141,-34.53171,44.2,-15.6506,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,336.6512,98.78437,1.581436,-23.349,98.784,1.581,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.87549,Far,-28.661,44.641,-5.3419,3.477972,0.3383141,-34.53414,44.20275,-15.6541,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,335.6227,100.1492,1.6893,-24.377,100.149,1.689,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.87965,Far,-28.661,44.641,-5.3419,3.610614,0.3383141,-34.5374,44.20507,-15.65713,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,334.7299,101.5793,1.836733,-25.27,101.579,1.837,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.88224,Far,-28.661,44.641,-5.3419,3.741516,0.3383141,-34.54044,44.20676,-15.65846,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,334.0102,101.8417,1.626138,-25.99,101.842,1.626,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.88409,Far,-28.661,44.641,-5.3419,3.869491,0.3383141,-34.54382,44.20914,-15.65876,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,332.4827,101.348,1.256475,-27.517,101.348,1.256,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.88513,Far,-28.661,44.641,-5.3419,4.005767,0.3383141,-34.54544,44.21023,-15.65907,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,331.8623,100.5474,0.8175564,-28.138,100.547,0.818,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.88549,Far,-28.661,44.641,-5.3419,4.141609,0.3383141,-34.54554,44.21023,-15.65943,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,331.7576,100.2618,0.4722475,-28.242,100.262,0.472,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
