userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.54294,Far,-28.057,44.482,-5.3419,0.02,0,58.36451,-34.58055,44.19238,-16.051,-35.16,43.152,-14.71,-35.16,43.152,-14.71,328.9293,107.4,359.9167,-31.071,107.4,-0.083,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23217,Far,-28.057,44.482,-5.3419,0.4647341,0.3437862,58.75155,-34.58778,44.15943,-15.67973,-34.49287,43.76025,-15.80227,-34.57853,43.7615,-15.82709,337.748,104.8004,359.4532,-22.252,104.8,-0.5470001,345.3561,208.6205,342.8238,-14.644,-151.379,-17.176,345.2115,212.5313,341.2277,-14.788,-147.469,-18.772,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.2313,Far,-28.057,44.482,-5.3419,0.7912481,0.3437862,58.75297,-34.58695,44.15885,-15.67922,-34.49317,43.76006,-15.80225,-34.57671,43.76235,-15.82558,337.8208,104.595,359.4601,-22.179,104.595,-0.54,345.3546,208.6209,342.8238,-14.645,-151.379,-17.176,345.1898,212.5031,341.2142,-14.81,-147.497,-18.786,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23118,Far,-28.057,44.482,-5.3419,0.9193119,0.3437862,58.75372,-34.58685,44.15891,-15.67913,-34.49333,43.76006,-15.80262,-34.57693,43.76228,-15.82586,337.7696,104.5599,359.4745,-22.23,104.56,-0.525,345.3697,208.6135,342.8315,-14.63,-151.387,-17.168,345.2044,212.5007,341.2307,-14.796,-147.499,-18.769,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23141,Far,-28.057,44.482,-5.3419,1.049982,0.3437862,58.75452,-34.58697,44.15881,-15.67934,-34.49323,43.76012,-15.80266,-34.5771,43.7622,-15.8263,337.7976,104.5365,359.523,-22.202,104.536,-0.477,345.3612,208.6149,342.8321,-14.639,-151.385,-17.168,345.2121,212.4856,341.2404,-14.788,-147.514,-18.76,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23112,Far,-28.057,44.482,-5.3419,1.194052,0.3437862,58.75542,-34.5872,44.15906,-15.67885,-34.49287,43.76032,-15.80211,-34.57694,43.76229,-15.82589,337.7158,104.5493,359.5479,-22.284,104.549,-0.452,345.3553,208.6197,342.8146,-14.645,-151.38,-17.185,345.1982,212.4802,341.2146,-14.802,-147.52,-18.785,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23092,Far,-28.057,44.482,-5.3419,1.335611,0.3437901,58.75617,-34.5869,44.15874,-15.6788,-34.49334,43.75993,-15.80269,-34.57653,43.76241,-15.82582,337.7994,104.4646,359.5396,-22.201,104.465,-0.46,345.363,208.6147,342.8305,-14.637,-151.385,-17.169,345.2103,212.4675,341.226,-14.79,-147.532,-18.774,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.2311,Far,-28.057,44.482,-5.3419,1.471007,0.3437901,58.75684,-34.58667,44.15871,-15.67915,-34.49331,43.76019,-15.80252,-34.57681,43.76223,-15.82601,337.849,104.5665,359.4707,-22.151,104.567,-0.529,345.3555,208.6174,342.8283,-14.645,-151.383,-17.172,345.1988,212.459,341.214,-14.801,-147.541,-18.786,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23142,Far,-28.057,44.482,-5.3419,1.609824,0.3437901,58.75753,-34.58675,44.15837,-15.67947,-34.49392,43.75996,-15.80295,-34.5772,43.76228,-15.82623,337.8576,104.5584,359.5733,-22.142,104.558,-0.427,345.3675,208.6141,342.8337,-14.633,-151.386,-17.166,345.2134,212.4556,341.2114,-14.787,-147.544,-18.789,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23177,Far,-28.057,44.482,-5.3419,1.738264,0.3437901,58.75834,-34.58675,44.1582,-15.67987,-34.49345,43.75997,-15.80269,-34.57619,43.76261,-15.82549,337.9738,104.6703,359.4191,-22.026,104.67,-0.581,345.3639,208.6132,342.8357,-14.636,-151.387,-17.164,345.2061,212.4447,341.2094,-14.794,-147.555,-18.791,-35.16,43.14921,-14.369,0,0,0,0,0,0
