userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.27067,Far,-28.661,44.641,-5.3419,0.02,0,-35.44242,43.51161,-16.693,-35.16,43.152,-14.71,-35.16,43.152,-14.71,346.4465,233.3075,359.5128,-13.553,-126.692,-0.487,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.26962,Far,-28.661,44.641,-5.3419,0.4350069,0,-35.44261,43.51161,-16.69166,-35.16,43.152,-14.71,-35.31421,43.5301,-16.59371,346.305,232.8668,359.7578,-13.695,-127.133,-0.242,0,0,0,0,0,0,351.5492,224.1106,14.71686,-8.451,-135.889,14.717,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.25735,Far,-28.661,44.641,-5.3419,0.749318,0,-35.45128,43.52023,-16.67298,-35.16,43.152,-14.71,-35.16,43.152,-14.71,346.2232,231.0647,359.3965,-13.777,-128.935,-0.603,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.25613,Far,-28.661,44.641,-5.3419,0.870796,0,-35.45213,43.5213,-16.67115,-35.16,43.152,-14.71,-35.53814,43.55366,-16.96009,346.304,231.0867,359.325,-13.696,-128.913,-0.675,0,0,0,0,0,0,351.9174,221.3187,10.74775,-8.083,-138.681,10.748,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.26923,Far,-28.661,44.641,-5.3419,0.9922672,0,-35.44373,43.5112,-16.69049,-35.16,43.152,-14.71,-35.53947,43.55558,-16.95652,347.3437,230.922,359.9619,-12.656,-129.078,-0.038,0,0,0,0,0,0,352.0082,221.2323,10.61155,-7.992001,-138.768,10.612,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.26767,Far,-28.661,44.641,-5.3419,1.126021,0,-35.4432,43.51139,-16.689,-35.16,43.152,-14.71,-35.53841,43.55414,-16.95956,345.8792,231.057,359.0642,-14.121,-128.943,-0.936,0,0,0,0,0,0,351.9875,221.2775,10.55852,-8.012,-138.722,10.559,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.26806,Far,-28.661,44.641,-5.3419,1.260667,0,-35.44299,43.51229,-16.68968,-35.16,43.152,-14.71,-35.53749,43.55276,-16.96207,346.4804,231.1901,359.8679,-13.52,-128.81,-0.132,0,0,0,0,0,0,352.0217,221.311,10.61057,-7.978,-138.689,10.611,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.26352,Far,-28.661,44.641,-5.3419,1.394837,0,-35.44022,43.51017,-16.68581,-35.16,43.152,-14.71,-35.53568,43.55148,-16.96509,343.4113,232.73,358.6612,-16.589,-127.27,-1.339,0,0,0,0,0,0,351.8596,221.3473,10.7354,-8.14,-138.653,10.735,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.25809,Far,-28.661,44.641,-5.3419,1.520815,0,-35.43653,43.5133,-16.68198,-35.16,43.152,-14.71,-35.53572,43.55113,-16.96575,341.346,232.6262,358.7791,-18.654,-127.374,-1.221,0,0,0,0,0,0,351.8468,221.3722,10.71888,-8.153001,-138.628,10.719,-35.16,43.152,-14.71,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.19123,Far,-28.661,44.641,-5.3419,1.64305,0,-35.40279,43.56679,-16.62919,-35.16,43.152,-14.71,-35.53549,43.55058,-16.96625,349.6927,232.4625,9.016631,-10.307,-127.537,9.017,0,0,0,0,0,0,351.9935,221.3462,10.68086,-8.007,-138.654,10.681,-35.16,43.152,-14.71,0,0,0,0,0,0
