userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.55363,Far,-28.057,44.482,-5.3419,0.02,0,0,-34.55075,44.33816,-16.08453,-35.16,43.152,-14.71,-35.16,43.152,-14.71,357.3158,122.076,354.2951,-2.684,122.076,-5.705,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.85935,Far,-28.057,44.482,-5.3419,0.4678237,1.02801,1.069892,-33.85843,44.31201,-15.68398,-34.50931,43.14921,-14.33813,-33.95453,43.86668,-15.79325,358.2727,113.5063,355.6678,-1.727,113.506,-4.332,0,0,0,0,0,0,352.8227,119.9013,4.296268,-7.177001,119.901,4.296,-34.50931,43.14921,-14.33813,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.53226,Far,-28.057,44.482,-5.3419,0.7883203,1.832033,1.889123,-33.04331,44.30162,-15.73888,-33.70949,43.14921,-14.3941,-33.15623,43.86523,-15.84941,0.3471654,112.9886,356.0269,0.347,112.989,-3.973,0,0,0,0,0,0,352.0031,118.2902,8.619956,-7.997,118.29,8.620001,-33.70949,43.14921,-14.3941,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.42595,Far,-28.057,44.482,-5.3419,0.9307069,2.170869,2.22947,-32.70523,44.30173,-15.77808,-33.37303,43.14921,-14.43415,-32.81913,43.86467,-15.88996,0.3457405,112.9349,356.0559,0.346,112.935,-3.944,0,0,0,0,0,0,352.1094,118.4733,8.713299,-7.891,118.473,8.713,-33.37303,43.14921,-14.43415,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.31509,Far,-28.057,44.482,-5.3419,1.061083,2.454635,2.51507,-32.41969,44.30139,-15.78056,-33.08932,43.14921,-14.43671,-32.53411,43.86372,-15.89301,0.3948521,112.9645,356.1146,0.395,112.964,-3.885,0,0,0,0,0,0,352.4017,118.4892,8.424392,-7.598001,118.489,8.424001,-33.08932,43.14921,-14.43671,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.20548,Far,-28.057,44.482,-5.3419,1.193993,2.746089,2.809201,-32.12556,44.30087,-15.78109,-32.79787,43.14921,-14.43683,-32.24065,43.86379,-15.89424,0.4839481,112.9462,356.09,0.484,112.946,-3.91,0,0,0,0,0,0,352.5384,118.7996,8.443064,-7.462,118.8,8.443001,-32.79787,43.14921,-14.43683,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.10673,Far,-28.057,44.482,-5.3419,1.318313,3.025241,3.0923,-31.84247,44.29898,-15.78202,-32.51871,43.14921,-14.43683,-31.95827,43.86214,-15.89466,0.6870673,113.0364,356.0747,0.687,113.036,-3.925,0,0,0,0,0,0,352.9676,119.2475,8.308631,-7.032001,119.248,8.309,-32.51871,43.14921,-14.43683,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.00961,Far,-28.057,44.482,-5.3419,1.458472,3.321132,3.39278,-31.54199,44.29855,-15.78377,-32.22282,43.14921,-14.43683,-31.65932,43.86021,-15.89677,0.8318185,113.0066,356.141,0.832,113.007,-3.859,0,0,0,0,0,0,353.3223,119.3868,8.34133,-6.678,119.387,8.341001,-32.22282,43.14921,-14.43683,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.92785,Far,-28.057,44.482,-5.3419,1.584036,3.602853,3.67844,-31.25639,44.29895,-15.7893,-31.9411,43.14921,-14.43683,-31.37241,43.86074,-15.89952,0.8456068,113.6389,356.0481,0.846,113.639,-3.952,0,0,0,0,0,0,353.3007,119.5584,8.399241,-6.699,119.558,8.399,-31.9411,43.14921,-14.43683,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.81118,Far,-28.057,44.482,-5.3419,1.720731,3.92429,4.002039,-30.96146,44.29998,-15.75403,-31.64827,43.14921,-14.39237,-31.07468,43.86136,-15.85922,0.8819282,115.2452,356.2421,0.882,115.245,-3.758,0,0,0,0,0,0,353.2756,119.9069,8.616505,-6.724,119.907,8.617001,-31.64827,43.14921,-14.39237,0,0,0,0,0,0,,,
