userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveledHeadset,totalDistanceTraveledCameraRig,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_3Q0oMNTyHmCrAMk,Reflective,Intro,0.02,0,0,-35.11982,44.67143,-15.62799,-35.16,43.152,-14.71,-35.16,43.152,-14.71,12.98564,351.009,357.5483,12.986,-8.991,-2.452,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Intro,0.4302405,0.01436958,0,-35.11317,44.68301,-15.62779,-35.20945,44.29672,-15.38304,-35.06927,44.27315,-15.37879,4.162654,346.7403,357.9323,4.163,-13.26,-2.068,335.8745,347.1871,342.4839,-24.125,-12.813,-17.516,345.3793,354.3094,2.074047,-14.621,-5.691,2.074,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Intro,0.7992266,0.01971931,0,-35.11128,44.68144,-15.62348,-35.20478,44.29126,-15.38006,-35.06837,44.27166,-15.37813,5.19487,346.2411,357.3049,5.195,-13.759,-2.695,338.684,350.1259,340.8473,-21.316,-9.874001,-19.153,345.4726,354.8355,0.8165184,-14.527,-5.165,0.817,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Intro,0.9637873,0.02556298,0,-35.10904,44.67747,-15.61989,-35.20075,44.27728,-15.37477,-35.06301,44.27244,-15.37652,7.808212,346.4415,356.2487,7.808001,-13.559,-3.751,346.4593,353.619,335.0311,-13.541,-6.381001,-24.969,347.5794,354.6904,352.381,-12.421,-5.31,-7.619,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Intro,1.125683,0.03188142,0,-35.10485,44.67473,-15.61624,-35.21075,44.29291,-15.37723,-35.05764,44.26718,-15.37397,9.767056,347.2618,355.5079,9.767,-12.738,-4.492,343.2097,352.9521,340.4941,-16.79,-7.048,-19.506,348.792,355.8442,351.7691,-11.208,-4.156,-8.231,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Intro,1.297404,0.0392187,0,-35.09934,44.6709,-15.61377,-35.19998,44.2866,-15.37871,-35.05358,44.26172,-15.37471,11.78766,347.961,354.6278,11.788,-12.039,-5.372,343.5459,355.2562,338.6477,-16.454,-4.744,-21.352,349.897,356.846,353.7043,-10.103,-3.154,-6.296,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Intro,1.462113,0.04286919,0,-35.09785,44.66795,-15.61248,-35.19521,44.28165,-15.37947,-35.0499,44.25225,-15.37337,13.5939,347.1973,354.3968,13.594,-12.803,-5.603,345.9742,355.2621,343.3644,-14.026,-4.738,-16.636,353.686,357.2341,355.2039,-6.314,-2.766,-4.796,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Intro,1.597587,0.04479002,0,-35.09809,44.66912,-15.61141,-35.19619,44.28695,-15.38044,-35.04846,44.25632,-15.37362,13.10802,346.8376,354.6907,13.108,-13.162,-5.309,344.8534,355.1715,345.7775,-15.147,-4.828,-14.222,352.0578,355.7896,352.2303,-7.942,-4.21,-7.77,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Intro,1.733173,0.0480415,0,-35.10042,44.66777,-15.60996,-35.20096,44.28602,-15.37687,-35.04851,44.25184,-15.3729,13.94799,345.7464,354.9678,13.948,-14.254,-5.032,344.1313,354.0952,345.5227,-15.869,-5.905,-14.477,354.4369,355.3481,348.0704,-5.563,-4.652,-11.93,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_3Q0oMNTyHmCrAMk,Reflective,Intro,1.898496,0.05294792,0,-35.10493,44.66702,-15.60857,-35.20542,44.26823,-15.36983,-35.06174,44.23745,-15.3753,14.44055,345.0657,355.466,14.441,-14.934,-4.534,353.434,353.2462,358.7678,-6.566,-6.754,-1.232,356.2818,349.4144,358.9745,-3.718,-10.586,-1.025,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
