PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,m_TeleportPositionStep.x,m_TeleportPositionStep.y,m_TeleportPositionStep.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.34462,0.02,0,-35.17635,44.87749,-14.84684,-35.16,43.152,-14.71,-35.16,43.152,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.26533,0.4007545,0.09573033,-35.1656,44.88887,-14.75743,-35.29937,44.30378,-15.0832,-35.30399,44.22377,-15.15613,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.32488,0.5221001,0.1736166,-35.22941,44.8772,-14.78577,-35.30691,44.30874,-15.08641,-35.31511,44.22701,-15.15724,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.35453,0.910297,0.230921,-35.20728,44.87801,-14.83742,-35.2795,44.29796,-15.12705,-35.27514,44.20928,-15.19019,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.35934,1.032194,0.242383,-35.20164,44.87823,-14.84719,-35.2604,44.29774,-15.13304,-35.25237,44.20896,-15.19553,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.36371,1.146127,0.250156,-35.20011,44.88191,-14.85348,-35.24699,44.29898,-15.13486,-35.23683,44.21009,-15.19704,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.36868,1.269962,0.257711,-35.20349,44.88531,-14.85709,-35.23822,44.29906,-15.13555,-35.22369,44.21133,-15.1983,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.36898,1.386776,0.2671947,-35.21072,44.88505,-14.85244,-35.23509,44.3005,-15.13693,-35.22057,44.21485,-15.20254,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.35851,1.511289,0.2823027,-35.21226,44.88625,-14.83858,-35.22239,44.31562,-15.13733,-35.19983,44.23399,-15.20514,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.34888,1.633087,0.297621,-35.21616,44.88434,-14.82417,-35.21325,44.3503,-15.12891,-35.1861,44.27958,-15.20676,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.3443,1.758832,0.3043882,-35.21632,44.88261,-14.8185,-35.21307,44.37678,-15.11197,-35.18406,44.31377,-15.19533,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.34097,1.882467,0.309698,-35.21268,44.87967,-14.81707,-35.20798,44.38626,-15.09258,-35.17334,44.32537,-15.17526,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.33819,2.016148,0.3184415,-35.20451,44.88034,-14.81935,-35.18907,44.38967,-15.07726,-35.14732,44.32927,-15.15699,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.33212,2.149536,0.3360264,-35.18853,44.88614,-14.82294,-35.16124,44.38629,-15.06804,-35.11339,44.32516,-15.14391,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.31875,2.286343,0.3594757,-35.16515,44.88682,-14.82287,-35.13223,44.37709,-15.06422,-35.06387,44.30766,-15.12849,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.30389,2.429686,0.3768527,-35.1499,44.88454,-14.81541,-35.1188,44.36238,-15.06782,-34.96146,44.29062,-15.09174,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.2945,2.571468,0.3872257,-35.14171,44.88227,-14.80971,-35.11693,44.3073,-15.08324,-34.85672,44.27951,-14.99942,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.28214,2.738891,0.4004728,-35.13126,44.88202,-14.80191,-35.14172,44.1339,-15.09771,-34.81866,44.29075,-14.88616,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.27354,2.862836,0.4092968,-35.12495,44.88221,-14.79581,-35.1963,44.06775,-15.08644,-34.83117,44.25102,-14.83233,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.26949,2.999388,0.4140388,-35.12172,44.88081,-14.79316,-35.1934,44.06246,-15.07144,-34.84555,44.19272,-14.84265,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.26782,3.150458,0.4182784,-35.1233,44.87994,-14.79005,-35.14596,44.04124,-15.01102,-34.86519,44.10607,-14.86515,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.26936,3.29554,0.4254108,-35.12663,44.88459,-14.78951,-35.16098,44.03075,-14.96598,-34.91599,44.04456,-14.8317,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.26778,3.455282,0.4319496,-35.12332,44.88163,-14.78996,-35.13654,44.01561,-14.97912,-34.90879,44.05564,-14.81341,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.25815,3.588111,0.4430871,-35.12237,44.88097,-14.77891,-35.13776,43.99463,-14.96786,-34.88194,44.05449,-14.74751,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.25287,3.757429,0.4506643,-35.12372,44.87993,-14.77159,-35.12985,43.98335,-14.94913,-34.87325,44.06053,-14.63255,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.25269,3.929253,0.4526924,-35.124,44.87883,-14.7712,-35.10479,43.99402,-14.94171,-34.93179,44.04318,-14.52845,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.25476,4.102629,0.4581296,-35.12877,44.87909,-14.77041,-35.09376,43.99592,-14.95625,-35.00747,44.01235,-14.52976,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.24937,4.26129,0.4768157,-35.14025,44.87671,-14.75594,-35.10911,43.98691,-14.95433,-35.00768,44.00801,-14.59561,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.24586,4.396144,0.4857291,-35.14344,44.87216,-14.74957,-35.11597,43.98695,-14.95172,-34.98986,44.01649,-14.5944,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.24398,4.533786,0.494987,-35.1471,44.86532,-14.74489,-35.12117,43.9852,-14.95327,-34.96163,44.03235,-14.58226,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.2399,4.695998,0.5127245,-35.13257,44.87125,-14.74988,-35.11596,43.98685,-14.94753,-34.95432,44.04346,-14.59676,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.21524,4.834922,0.5449292,-35.10294,44.86367,-14.7406,-35.08755,43.98441,-14.9559,-34.94983,44.03532,-14.55712,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.20409,4.974283,0.5664251,-35.08894,44.85032,-14.73703,-35.04283,43.98833,-14.9834,-34.94939,44.02037,-14.55864,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.22854,5.165673,0.5999489,-35.09354,44.86534,-14.76322,-34.99815,43.99844,-15.02237,-34.95783,44.0425,-14.56589,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.26245,5.329711,0.6355615,-35.11417,44.86786,-14.79013,-34.95443,44.00711,-15.03156,-35.01964,44.0724,-14.53954,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.28523,5.459286,0.6629555,-35.11591,44.86586,-14.81665,-34.89632,44.02317,-15.03973,-35.15684,44.04979,-14.53468,0,0,0,-28.721,44.641,-5.5209
