PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportPositionStep.x,TeleportPositionStep.y,TeleportPositionStep.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87095,Far,-28.661,44.641,-5.3419,0.02,0,-36.73156,43.78513,-15.33164,-35.16,43.152,-14.71,-35.16,43.152,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87229,Far,-28.661,44.641,-5.3419,0.4698754,0.003999962,-36.7322,43.78199,-15.33258,-36.71601,43.80956,-15.56708,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87155,Far,-28.661,44.641,-5.3419,0.7963738,0.005779468,-36.73186,43.78213,-15.33191,-36.71567,43.80943,-15.56704,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87134,Far,-28.661,44.641,-5.3419,0.9460525,0.006680684,-36.73177,43.78209,-15.33171,-36.71581,43.80937,-15.56706,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87161,Far,-28.661,44.641,-5.3419,1.075135,0.007684938,-36.73197,43.78227,-15.33192,-36.71584,43.80963,-15.56706,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87136,Far,-28.661,44.641,-5.3419,1.214702,0.008352413,-36.73179,43.78224,-15.33173,-36.71568,43.80941,-15.56703,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87139,Far,-28.661,44.641,-5.3419,1.343023,0.009237934,-36.73201,43.78236,-15.3316,-36.71582,43.80945,-15.5671,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87127,Far,-28.661,44.641,-5.3419,1.463147,0.00997655,-36.73173,43.78234,-15.33168,-36.71566,43.80963,-15.56689,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87086,Far,-28.661,44.641,-5.3419,1.586867,0.0106782,-36.73158,43.7825,-15.33128,-36.71562,43.8095,-15.56684,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87074,Far,-28.661,44.641,-5.3419,1.71245,0.01135375,-36.7316,43.78257,-15.33112,-36.71577,43.80964,-15.56693,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87092,Far,-28.661,44.641,-5.3419,1.849513,0.01191273,-36.73168,43.78255,-15.33129,-36.71557,43.80943,-15.56709,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87057,Far,-28.661,44.641,-5.3419,1.978277,0.01283753,-36.73151,43.7826,-15.33098,-36.71563,43.80945,-15.56705,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87053,Far,-28.661,44.641,-5.3419,2.113204,0.01363944,-36.73138,43.7826,-15.33102,-36.71531,43.80953,-15.5669,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87034,Far,-28.661,44.641,-5.3419,2.251357,0.01428905,-36.73138,43.78278,-15.3308,-36.71555,43.80961,-15.56699,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87045,Far,-28.661,44.641,-5.3419,2.381441,0.01494724,-36.73157,43.78279,-15.3308,-36.71573,43.80978,-15.56687,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87043,Far,-28.661,44.641,-5.3419,2.507505,0.01550643,-36.73141,43.7827,-15.33088,-36.71544,43.80952,-15.56695,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87049,Far,-28.661,44.641,-5.3419,2.625855,0.01663467,-36.73145,43.78261,-15.33092,-36.71549,43.80972,-15.567,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87072,Far,-28.661,44.641,-5.3419,2.74998,0.01734428,-36.73159,43.78247,-15.33109,-36.71552,43.80972,-15.56691,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87105,Far,-28.661,44.641,-5.3419,2.88871,0.01819833,-36.73174,43.78244,-15.33139,-36.71542,43.80953,-15.56709,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87098,Far,-28.661,44.641,-5.3419,3.017898,0.01931678,-36.73167,43.78235,-15.33135,-36.71552,43.80962,-15.5671,-35.16,43.14921,-14.71,0,0,0
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.87118,Far,-28.661,44.641,-5.3419,3.152053,0.02021061,-36.73172,43.7824,-15.33157,-36.7154,43.8097,-15.567,-35.16,43.14921,-14.71,0,0,0
