userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportPositionStep.x,TeleportPositionStep.y,TeleportPositionStep.z
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,13.32337,Far,-28.661,44.641,-5.3419,0.02,0,-35.56441,43.54093,-16.68408,-35.16,43.152,-14.71,-35.16,43.152,-14.71,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.76738,Far,-28.661,44.641,-5.3419,0.5203977,0,-34.94832,43.87428,-16.42738,-35.47393,43.58102,-16.87287,-35.16,43.152,-14.71,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.75202,Far,-28.661,44.641,-5.3419,0.8169951,0,-34.84364,43.98961,-16.47584,-35.37018,43.66146,-16.78809,-35.16,43.152,-14.71,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.75482,Far,-28.661,44.641,-5.3419,0.9677314,0,-34.82046,44.07003,-16.49629,-35.26402,43.75795,-16.66063,-35.16,43.152,-14.71,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.75531,Far,-28.661,44.641,-5.3419,1.099973,0,-34.80728,44.16065,-16.50839,-35.15326,43.85547,-16.50303,-35.16,43.152,-14.71,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.74036,Far,-28.661,44.641,-5.3419,1.231198,0,-34.80025,44.24377,-16.49845,-35.06562,43.92213,-16.37082,-35.16,43.152,-14.71,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.70707,Far,-28.661,44.641,-5.3419,1.362314,0,-34.81086,44.31982,-16.45701,-34.99014,43.95908,-16.29051,-35.16,43.152,-14.71,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.66432,Far,-28.661,44.641,-5.3419,1.491131,0,-34.83452,44.37188,-16.39632,-34.91353,43.96138,-16.26391,-35.16,43.152,-14.71,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.06935,Far,-28.661,44.641,-5.3419,1.640532,0.5605106,-34.87641,44.42496,-15.68556,-34.83176,43.94868,-15.67668,-34.7465,43.96077,-15.75663,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.9448,Far,-28.661,44.641,-5.3419,1.798323,0.5632992,-34.8826,44.36589,-15.53476,-34.79073,43.94218,-15.66925,-34.68454,43.96795,-15.72839,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.92898,Far,-28.661,44.641,-5.3419,1.951525,0.563303,-34.84533,44.33835,-15.53813,-34.76608,43.94372,-15.66258,-34.6731,43.9612,-15.73255,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.9327,Far,-28.661,44.641,-5.3419,2.116395,0.563303,-34.76844,44.32074,-15.58817,-34.74589,43.94177,-15.65524,-34.65952,43.95631,-15.72896,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.91419,Far,-28.661,44.641,-5.3419,2.284505,0.563303,-34.72538,44.29565,-15.59139,-34.726,43.94852,-15.65298,-34.63946,43.95891,-15.72597,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90616,Far,-28.661,44.641,-5.3419,2.456173,0.563303,-34.71959,44.27895,-15.5849,-34.70413,43.95617,-15.65517,-34.61571,43.96531,-15.72637,0,0,0
