PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,elapsedTime,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.02,-33.99493,43.91399,-13.2745,-35.16,43.152,-14.71,-35.16,43.152,-14.71,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.4798752,-33.99482,43.91121,-13.27457,-35.16,43.14921,-14.71,-34.20026,44.00616,-13.149,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.8217396,-33.99467,43.9111,-13.27403,-35.16,43.14921,-14.71,-34.20001,44.00593,-13.14821,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.9586786,-33.99467,43.91104,-13.27409,-35.16,43.14921,-14.71,-34.19991,44.00569,-13.14812,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.088904,-33.99467,43.91104,-13.27388,-35.16,43.14921,-14.71,-34.20003,44.00582,-13.14814,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.22477,-33.99472,43.91114,-13.27376,-35.16,43.14921,-14.71,-34.20017,44.00609,-13.14842,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.382614,-33.99498,43.91117,-13.27421,-35.16,43.14921,-14.71,-34.20023,44.00586,-13.14851,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.51715,-33.99465,43.91115,-13.27412,-35.16,43.14921,-14.71,-34.19999,44.00584,-13.14808,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.649986,-33.99472,43.91117,-13.27417,-35.16,43.14921,-14.71,-34.20004,44.00586,-13.14799,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.782604,-33.99498,43.91115,-13.27452,-35.16,43.14921,-14.71,-34.20007,44.00566,-13.14816,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.940501,-33.99474,43.91138,-13.27432,-35.16,43.14921,-14.71,-34.19981,44.00587,-13.14769,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.071682,-33.99466,43.91131,-13.27439,-35.16,43.14921,-14.71,-34.19994,44.00589,-13.148,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.205706,-33.99493,43.91122,-13.27456,-35.16,43.14921,-14.71,-34.20019,44.00586,-13.14853,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.341892,-33.99512,43.91116,-13.27441,-35.16,43.14921,-14.71,-34.20024,44.00579,-13.14828,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.477441,-33.99499,43.91117,-13.27449,-35.16,43.14921,-14.71,-34.2001,44.00574,-13.14812,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.610007,-33.99438,43.91115,-13.27369,-35.16,43.14921,-14.71,-34.19968,44.00596,-13.14793,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.77668,-33.99463,43.9111,-13.274,-35.16,43.14921,-14.71,-34.20013,44.00614,-13.14861,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.911078,-33.99497,43.91093,-13.27436,-35.16,43.14921,-14.71,-34.20026,44.00592,-13.14871,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.07705,-33.99457,43.911,-13.27326,-35.16,43.14921,-14.71,-34.20018,44.00621,-13.14867,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.210865,-33.99452,43.91109,-13.27385,-35.16,43.14921,-14.71,-34.2001,44.00601,-13.1486,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.351464,-33.99477,43.91118,-13.27434,-35.16,43.14921,-14.71,-34.2001,44.006,-13.14885,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.515706,-33.99496,43.91093,-13.27402,-35.16,43.14921,-14.71,-34.20039,44.00641,-13.14945,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.673036,-33.9948,43.91103,-13.27396,-35.16,43.14921,-14.71,-34.20034,44.00645,-13.14956,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.804686,-33.99493,43.9111,-13.27454,-35.16,43.14921,-14.71,-34.20017,44.00623,-13.14941,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.960579,-33.99483,43.91124,-13.27459,-35.16,43.14921,-14.71,-34.19995,44.00612,-13.14931,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.093667,-33.99496,43.91143,-13.27433,-35.16,43.14921,-14.71,-34.20047,44.00664,-13.14946,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.241408,-33.99513,43.91143,-13.27529,-35.16,43.14921,-14.71,-34.20014,44.00632,-13.14907,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.374321,-33.99529,43.91158,-13.27541,-35.16,43.14921,-14.71,-34.2004,44.00643,-13.14929,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.508195,-33.99506,43.91169,-13.27522,-35.16,43.14921,-14.71,-34.20016,44.00636,-13.14904,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.641237,-33.99507,43.91171,-13.27567,-35.16,43.14921,-14.71,-34.20014,44.00627,-13.14891,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.775507,-33.99529,43.91176,-13.27571,-35.16,43.14921,-14.71,-34.20022,44.00631,-13.14885,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.911188,-33.99503,43.91169,-13.27582,-35.16,43.14921,-14.71,-34.19978,44.00603,-13.14844,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.056658,-33.99516,43.91175,-13.27586,-35.16,43.14921,-14.71,-34.20027,44.00624,-13.14898,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.188611,-33.99523,43.91187,-13.27576,-35.16,43.14921,-14.71,-34.20028,44.00641,-13.14936,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.325224,-33.99527,43.91181,-13.27618,-35.16,43.14921,-14.71,-34.20023,44.00619,-13.14923,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.460142,-33.99533,43.91169,-13.27607,-35.16,43.14921,-14.71,-34.20009,44.00612,-13.14905,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.616354,-33.99505,43.91153,-13.2752,-35.16,43.14921,-14.71,-34.20028,44.00634,-13.1489,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.775839,-33.9948,43.9117,-13.27494,-35.16,43.14921,-14.71,-34.19992,44.00623,-13.14895,
