PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.40624,0.02,0,-33.72348,43.86255,-13.44848,-35.16,43.152,-14.71,-35.16,43.152,-14.71,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.03651,0.4551944,1.293963,-34.46315,44.87442,-13.74919,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.697168,0.780513,1.772728,-34.50563,44.71864,-13.30339,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.686675,0.9018808,1.785524,-34.50158,44.71291,-13.29338,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.6859,1.039407,1.793502,-34.49633,44.71601,-13.29628,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.694637,1.168955,1.810901,-34.49059,44.72248,-13.31136,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.70937,1.306172,1.842906,-34.47778,44.73219,-13.33902,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.74112,1.431803,1.899725,-34.46292,44.75449,-13.38899,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.802273,1.556227,1.994104,-34.44996,44.79484,-13.47325,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.931973,1.710021,2.170359,-34.43586,44.84469,-13.64143,-35.16,43.14921,-14.71,-34.37029,44.30807,-13.3249,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.05811,1.870047,2.331465,-34.42707,44.86682,-13.80071,-34.67984,44.34468,-13.38138,-34.35469,44.41707,-13.51354,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.15596,1.998751,2.454509,-34.42169,44.88324,-13.92251,-34.97692,44.48163,-13.47356,-34.31762,44.43732,-13.67536,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.21195,2.131419,2.520308,-34.42525,44.89229,-13.98744,-34.90491,44.51449,-13.58749,-34.27122,44.40998,-13.78763,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.25972,2.271344,2.570245,-34.44171,44.90031,-14.03372,-35.09455,44.56723,-13.60333,-34.24846,44.37785,-13.87064,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.30205,2.442022,2.631444,-34.49261,44.90757,-14.05024,-35.22728,44.60405,-13.59754,-34.25165,44.367,-13.91786,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.28124,2.60269,2.72463,-34.55312,44.90444,-13.98382,-35.28547,44.62479,-13.53401,-34.29693,44.37506,-13.86147,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.19979,2.7384,2.836651,-34.56802,44.90417,-13.87427,-35.82025,44.76225,-13.29176,-34.30563,44.38398,-13.75907,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.07208,2.885159,2.972663,-34.53099,44.90174,-13.74421,-35.92419,44.79861,-13.12762,-34.26606,44.38655,-13.63854,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.867114,3.014223,3.178128,-34.41751,44.89528,-13.57355,-35.86459,44.80629,-12.93705,-34.15562,44.38289,-13.47589,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.626358,3.149325,3.419223,-34.27567,44.89614,-13.37885,-35.70212,44.80072,-12.74315,-34.01382,44.37627,-13.28764,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.331963,3.308254,3.714837,-34.08821,44.89611,-13.15067,-35.44992,44.79837,-12.53919,-33.82281,44.37665,-13.06721,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.072496,3.445419,3.980288,-33.89452,44.89763,-12.96932,-35.16977,44.78363,-12.38828,-33.61799,44.37971,-12.88888,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,8.81057,3.596769,4.250323,-33.69207,44.89721,-12.79063,-34.88477,44.76692,-12.23703,-33.41664,44.3856,-12.70316,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,8.49152,3.756265,4.575663,-33.46184,44.9,-12.56102,-34.54186,44.74524,-12.04327,-33.19482,44.3932,-12.46325,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,8.190825,3.888431,4.880887,-33.32478,44.89758,-12.29061,-34.32281,44.73097,-11.8006,-33.06662,44.39697,-12.18872,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,7.946495,4.01757,5.145669,-33.26934,44.8978,-12.03193,-34.20453,44.7092,-11.56368,-33.0148,44.39341,-11.93085,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,7.72356,4.153542,5.416172,-33.26426,44.89743,-11.76161,-34.13596,44.69984,-11.31283,-33.0098,44.39314,-11.66294,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,7.495095,4.294,5.703654,-33.26736,44.89734,-11.47416,-34.06831,44.67997,-11.05017,-33.01336,44.39497,-11.37518,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,7.255448,4.447572,6.006175,-33.26468,44.89617,-11.17169,-34.00609,44.66347,-10.76867,-33.01459,44.39505,-11.07095,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,7.040323,4.581846,6.276186,-33.25374,44.89494,-10.90197,-33.95999,44.6527,-10.50869,-33.00523,44.39304,-10.80053,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.798775,4.717494,6.546291,-33.18684,44.89364,-10.64104,-33.86374,44.64223,-10.25739,-32.94236,44.39225,-10.53803,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.554642,4.848401,6.811638,-33.10181,44.89309,-10.39001,-33.76365,44.63791,-10.01264,-32.86176,44.39042,-10.28821,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.360298,4.979147,7.068306,-33.0917,44.8922,-10.13471,-33.7411,44.63317,-9.762772,-32.85482,44.38797,-10.03458,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.195945,5.113718,7.332624,-33.12449,44.89194,-9.872462,-33.782,44.63424,-9.496781,-32.88881,44.38588,-9.774549,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.025116,5.27086,7.6157,-33.15628,44.89197,-9.5912,-33.81954,44.63473,-9.211847,-32.92097,44.38419,-9.495386,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.833132,5.409874,7.91968,-33.16779,44.89181,-9.287676,-33.83429,44.63574,-8.907504,-32.93483,44.38317,-9.191669,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.645078,5.542107,8.177247,-33.13368,44.89035,-9.032733,-33.82186,44.63759,-8.647589,-32.90298,44.38218,-8.937179,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.382346,5.700152,8.497106,-33.03603,44.88808,-8.728566,-33.75732,44.64286,-8.334107,-32.80773,44.3797,-8.634793,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.151814,5.831838,8.761939,-32.92531,44.88731,-8.488101,-33.6662,44.64428,-8.088161,-32.69843,44.3785,-8.395616,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.905255,5.963899,9.034455,-32.78744,44.88699,-8.25313,-33.54773,44.64693,-7.848912,-32.56075,44.37761,-8.162109,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.661598,6.097429,9.299527,-32.64034,44.88685,-8.032636,-33.41549,44.65222,-7.624824,-32.41415,44.37803,-7.943616,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.357968,6.279876,9.630698,-32.45119,44.88667,-7.760808,-33.23949,44.6563,-7.35025,-32.22399,44.37697,-7.674291,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.075409,6.415978,9.939735,-32.26879,44.88643,-7.511353,-33.06694,44.65892,-7.097802,-32.04079,44.37707,-7.425611,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.839337,6.550668,10.1997,-32.11239,44.88705,-7.303723,-32.91041,44.65908,-6.888787,-31.88233,44.37747,-7.217894,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.554879,6.705067,10.50965,-31.91232,44.88752,-7.067467,-32.7154,44.65969,-6.651012,-31.67763,44.37889,-6.981767,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.291983,6.84048,10.77847,-31.69544,44.88766,-6.909791,-32.49994,44.66146,-6.491995,-31.45578,44.37828,-6.825654,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.031497,6.967963,11.03992,-31.45909,44.88743,-6.79844,-32.26647,44.66173,-6.379592,-31.2159,44.37735,-6.715581,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.767627,7.101974,11.30567,-31.21018,44.88742,-6.705397,-32.02225,44.6627,-6.284164,-30.96845,44.37868,-6.621236,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.490541,7.244925,11.58689,-30.94227,44.88772,-6.61994,-31.75453,44.66408,-6.198339,-30.70089,44.37901,-6.535634,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.231738,7.396242,11.85124,-30.68906,44.8872,-6.544023,-31.50645,44.66534,-6.121059,-30.44607,44.37766,-6.460714,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.931395,7.551477,12.16007,-30.39317,44.88704,-6.455563,-31.21546,44.6661,-6.031094,-30.14831,44.37732,-6.374144,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.642769,7.68936,12.46129,-30.10325,44.88708,-6.373856,-30.93425,44.66829,-5.946601,-29.8561,44.3778,-6.29358,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.38685,7.839813,12.73245,-29.8428,44.88667,-6.298438,-30.68268,44.67137,-5.869192,-29.59386,44.37868,-6.219714,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.107973,7.974377,13.03365,-29.55591,44.8862,-6.206768,-30.40781,44.67431,-5.774724,-29.30728,44.37837,-6.127923,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.8801122,8.105883,13.28711,-29.31798,44.88577,-6.119484,-30.18433,44.67847,-5.685211,-29.07053,44.37791,-6.041171,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6677867,8.244177,13.54267,-29.08166,44.88458,-6.027391,-29.96499,44.68203,-5.592263,-28.83375,44.37591,-5.950113,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6517022,8.375971,13.69506,-28.9409,44.88365,-6.084356,-29.85036,44.69004,-5.644205,-28.68857,44.37637,-6.007621,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6444466,8.516662,13.74031,-28.92408,44.88086,-6.083515,-29.86792,44.69891,-5.638186,-28.66754,44.37704,-6.002627,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6413295,8.639687,13.75454,-28.93601,44.87708,-6.077087,-29.96882,44.71146,-5.604052,-28.68574,44.37377,-5.984266,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6352239,8.774679,13.76354,-28.93739,44.87259,-6.071406,-30.09602,44.7297,-5.562446,-28.70916,44.36927,-5.962867,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6266624,8.907679,13.78224,-28.9194,44.86902,-6.069854,-30.23401,44.75683,-5.513845,-28.72197,44.37211,-5.946126,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6130228,9.040506,13.8189,-28.8829,44.86705,-6.06724,-30.32676,44.78743,-5.476656,-28.71483,44.37013,-5.930295,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6043724,9.166792,13.85314,-28.84869,44.86652,-6.066891,-29.96694,44.71173,-5.595811,-28.70438,44.36979,-5.917237,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.5995202,9.300061,13.88788,-28.81444,44.86224,-6.070217,-29.59916,44.65452,-5.718074,-28.68611,44.36964,-5.910136,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.597266,9.43439,13.91554,-28.788,44.85552,-6.074271,-29.02224,44.52484,-5.90223,-28.66293,44.36972,-5.904216,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6005415,9.568857,13.93893,-28.76707,44.84923,-6.082299,-28.78438,44.46363,-5.977369,-28.64752,44.36812,-5.903043,,,,,,,
