PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.333923,0.02,0,-33.72171,43.83782,-13.36117,-35.16,43.152,-14.71,-35.16,43.152,-14.71,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.333309,0.5039605,0.004881161,-33.7215,43.83698,-13.36049,-34.32673,44.05548,-13.15605,-34.18872,44.06493,-13.19574,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.358139,0.867186,0.03685861,-33.74652,43.849,-13.37531,-34.32745,44.05619,-13.15727,-34.18794,44.0647,-13.19397,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.525865,1.005493,0.517083,-33.99832,44.24869,-13.44164,-34.32693,44.05678,-13.15869,-34.18847,44.06493,-13.19538,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.65331,1.165132,0.8572887,-34.17895,44.53355,-13.48241,-34.32736,44.05658,-13.15923,-34.18902,44.06497,-13.19609,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.708429,1.333144,1.060871,-34.2685,44.70645,-13.48799,-34.32697,44.05633,-13.15794,-34.18867,44.06493,-13.19578,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.712966,1.512757,1.271326,-34.265,44.91488,-13.49152,-34.32689,44.0564,-13.15804,-34.18855,44.06478,-13.19513,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.82097,1.683437,1.493901,-34.22178,45.05671,-13.64618,-34.32688,44.05663,-13.1582,-34.18896,44.0651,-13.19539,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.02469,1.849634,1.719649,-34.29311,45.10076,-13.84163,-34.32686,44.05676,-13.15853,-34.18848,44.06488,-13.19594,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.18887,2.02314,1.936242,-34.49343,45.08868,-13.90491,-34.32687,44.05689,-13.15875,-34.18855,44.06485,-13.19533,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.15942,2.189373,2.049971,-34.5513,45.03547,-13.83149,-34.32699,44.05709,-13.15897,-34.18853,44.06458,-13.19488,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.06076,2.329125,2.169594,-34.54401,45.00457,-13.71719,-34.32698,44.05713,-13.1591,-34.18843,44.0648,-13.19501,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.01645,2.476148,2.238724,-34.55341,44.98636,-13.65681,-34.32685,44.057,-13.15923,-34.18875,44.06478,-13.19518,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.953139,2.638062,2.367789,-34.54666,44.89466,-13.58702,-34.32663,44.05672,-13.15926,-34.18849,44.06466,-13.19508,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.931417,2.768761,2.423375,-34.54293,44.8599,-13.56393,-34.32649,44.05632,-13.15935,-34.18852,44.06475,-13.19499,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.893696,2.909735,2.47051,-34.54146,44.86882,-13.51812,-34.32635,44.05597,-13.15952,-34.18858,44.06479,-13.19517,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.85237,3.040719,2.519083,-34.53685,44.86237,-13.4705,-34.32623,44.05551,-13.15976,-34.18841,44.06468,-13.19531,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.793123,3.172155,2.584753,-34.52335,44.85218,-13.40718,-35.16,43.14921,-14.71,-34.18844,44.06475,-13.19545,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.714857,3.3397,2.667311,-34.49449,44.84856,-13.33129,-35.16,43.14921,-14.71,-34.18848,44.06462,-13.19488,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.645816,3.511437,2.742799,-34.46782,44.82434,-13.26572,-35.16,43.14921,-14.71,-34.1883,44.06432,-13.19464,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.583607,3.683563,2.812096,-34.44254,44.79674,-13.20759,-35.16,43.14921,-14.71,-34.18852,44.06448,-13.19466,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.548133,3.852454,2.849257,-34.42206,44.78593,-13.17882,-34.34848,44.0648,-13.13509,-34.18839,44.06451,-13.19464,,,,,,,-28.721,44.641,-5.5209
