PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,elapsedTime,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.02,-33.7466,43.85229,-13.387,-35.16,43.152,-14.71,-35.16,43.152,-14.71,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.4532445,-33.74611,43.84797,-13.38431,-34.33435,44.06315,-13.129,-34.24802,44.05651,-13.07924,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.8128976,-33.74596,43.84805,-13.38387,-34.33433,44.06326,-13.12967,-34.24797,44.05643,-13.07968,,,,,,,
Walk,Complexity,Walk,2,Task2,0,0.4,0.4,0.9903399,-33.74615,43.84799,-13.3838,-34.33459,44.06328,-13.12968,-34.24808,44.05649,-13.07947,,,,,,,
Walk,Complexity,Walk,3,Task3,0.5036428,0.9,0.3963572,1.157039,-33.74613,43.84796,-13.38411,-34.33451,44.06331,-13.12953,-34.24813,44.05653,-13.07937,,,,,,,
Walk,Complexity,Walk,4,Task4,0.5036428,0.35,0.1536428,1.339486,-33.74615,43.84788,-13.38405,-34.33451,44.06318,-13.12974,-34.24817,44.05626,-13.07926,,,,,,,
Walk,Plateau,Walk,5,Task5,0.5036428,0.7,0.1963572,1.513984,-33.74612,43.84804,-13.38385,-34.33445,44.06342,-13.12938,-34.24794,44.05632,-13.07837,,,,,,,
Walk,Plateau,Walk,6,Task5,0.5036428,0.7,0.1963572,1.675724,-33.7463,43.84798,-13.38383,-34.33462,44.06332,-13.12963,-34.24801,44.05606,-13.07799,,,,,,,
Walk,Plateau,Walk,7,Task5,0.5036428,0.7,0.1963572,1.807059,-33.74602,43.8481,-13.38386,-34.33454,44.06336,-13.12946,-34.24783,44.05593,-13.07767,,,,,,,
Walk,Plateau,Walk,8,Task5,0.5036428,0.7,0.1963572,1.944767,-33.7456,43.848,-13.38364,-34.33415,44.06319,-13.12907,-34.24748,44.05587,-13.07717,,,,,,,
Walk,Plateau,Walk,9,Task5,0.5036428,0.7,0.1963572,2.078407,-33.74609,43.84808,-13.38354,-34.33442,44.06314,-13.12871,-34.24778,44.05581,-13.07694,,,,,,,
Walk,Plateau,Walk,10,Task5,0.5036428,0.7,0.1963572,2.23932,-33.74611,43.90702,-13.3839,-34.33433,44.12192,-13.12863,-34.24765,44.11454,-13.07678,,,,,,,
Walk,Plateau,Walk,10,Task5,0.5036428,0.7,0.1963572,2.387871,-33.74603,43.84816,-13.38412,-34.3344,44.06334,-13.12932,-34.24767,44.05576,-13.07703,,,,,,,
Walk,Plateau,Walk,10,Task5,0.5036428,0.7,0.1963572,2.518957,-33.74603,43.84805,-13.38422,-34.33424,44.06328,-13.12971,-34.24762,44.05576,-13.07727,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,2.677336,-33.74608,43.90678,-13.38388,-34.33427,44.12214,-13.12922,-34.24759,44.1146,-13.07732,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,2.810245,-33.74599,43.9067,-13.38403,-34.33432,44.12193,-13.12951,-34.24768,44.11469,-13.07785,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,2.951159,-33.74588,43.90693,-13.38382,-34.33426,44.12217,-13.12955,-34.24771,44.11502,-13.07814,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,3.087666,-33.74611,43.90693,-13.38422,-34.3344,44.12194,-13.12967,-34.24793,44.11482,-13.07862,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,3.213086,-33.74619,43.90704,-13.38428,-34.33441,44.12195,-13.12893,-34.24783,44.11494,-13.07844,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,3.344817,-33.74631,43.90722,-13.38429,-34.33459,44.12189,-13.12887,-34.24815,44.11506,-13.07847,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,3.478153,-33.74615,43.9072,-13.38483,-34.33424,44.12157,-13.12882,-34.24785,44.11484,-13.07877,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,3.613839,-33.74622,43.90725,-13.38501,-34.33421,44.12181,-13.12875,-34.24786,44.11503,-13.07901,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,3.748518,-33.74645,43.90722,-13.38474,-34.33431,44.12157,-13.12813,-34.248,44.11515,-13.07869,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,3.883781,-33.74635,43.90719,-13.38492,-34.33413,44.12251,-13.13041,-34.24778,44.11504,-13.07842,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,4.02354,-33.74654,43.90712,-13.38474,-34.33461,44.1225,-13.13023,-34.24812,44.11534,-13.07874,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,4.152688,-33.74619,43.90705,-13.38444,-34.33401,44.12299,-13.13398,-34.24759,44.11508,-13.07896,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,4.28418,-33.74986,43.9038,-13.38382,-34.33373,44.12279,-13.13497,-34.24748,44.11464,-13.07964,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,4.451425,-33.83877,43.97976,-13.41771,-34.33219,44.12347,-13.13325,-34.24723,44.11422,-13.0801,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,4.592502,-34.05368,44.29926,-13.44186,-34.33469,44.1236,-13.13406,-34.24768,44.115,-13.07737,,,,,,,
