PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,m_TeleportPositionStep.x,m_TeleportPositionStep.y,m_TeleportPositionStep.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.810929,0.02,0,-34.26495,44.39145,-13.61143,-35.16,43.152,-14.71,-35.16,43.152,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.816586,0.4697244,0.008793377,-34.26979,44.38924,-13.61491,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.816236,0.6039186,0.009847314,-34.26955,44.38879,-13.61463,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.816082,0.7918724,0.01038707,-34.26917,44.38874,-13.6147,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.815901,0.9394252,0.01113274,-34.26926,44.38881,-13.61442,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.815402,1.093273,0.01232284,-34.26863,44.3887,-13.61424,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.815557,1.264959,0.01290633,-34.26856,44.38873,-13.61448,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.815619,1.41074,0.01361153,-34.26869,44.38867,-13.61447,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.815722,1.580133,0.01431976,-34.26873,44.38902,-13.61458,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.816293,1.791595,0.01554275,-34.26976,44.38879,-13.61456,-35.16,43.14921,-14.71,-35.16,43.14921,-14.71,0,0,0,-28.721,44.641,-5.5209
