PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,m_TeleportPositionStep.x,m_TeleportPositionStep.y,m_TeleportPositionStep.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.16307,0.02,0,-33.27379,43.86845,-13.43526,-35.16,43.152,-14.71,-35.16,43.152,-14.71,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163321,0.4590799,0.00298085,-33.27386,43.86553,-13.43522,-33.66469,43.9859,-13.29165,-33.55632,43.99781,-13.32813,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163559,0.829582,0.003653119,-33.27386,43.86565,-13.43552,-33.66483,43.98598,-13.29219,-33.55618,43.99742,-13.32736,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163421,0.9790602,0.004115366,-33.2738,43.86557,-13.43538,-33.66464,43.98604,-13.29186,-33.55616,43.99748,-13.32699,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163463,1.142858,0.004738825,-33.27396,43.86549,-13.43533,-33.66489,43.98586,-13.2921,-33.5562,43.99723,-13.32724,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163407,1.298184,0.005383011,-33.274,43.86549,-13.43524,-33.66495,43.98601,-13.29214,-33.55607,43.99712,-13.32665,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163275,1.432727,0.006172277,-33.27354,43.86537,-13.43534,-33.66447,43.98594,-13.29208,-33.55561,43.99695,-13.32611,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163449,1.563555,0.006993402,-33.27384,43.86536,-13.43537,-33.66471,43.9856,-13.29118,-33.5559,43.99672,-13.32548,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.16356,1.70091,0.007449653,-33.2738,43.86554,-13.43554,-33.66461,43.98584,-13.29163,-33.55589,43.99667,-13.32523,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163331,1.865919,0.008345147,-33.27362,43.86522,-13.43535,-33.66447,43.986,-13.29198,-33.55558,43.99669,-13.32555,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163486,2.013641,0.009132787,-33.27381,43.8657,-13.43546,-33.66477,43.98586,-13.29166,-33.55575,43.99638,-13.32462,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163327,2.162912,0.00960918,-33.27364,43.86562,-13.43537,-33.6646,43.98598,-13.29195,-33.55541,43.99631,-13.32437,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163612,2.30292,0.01046432,-33.27389,43.86544,-13.43554,-33.66483,43.9861,-13.29232,-33.55553,43.99618,-13.32382,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163527,2.432075,0.01106688,-33.27378,43.86513,-13.43547,-33.66467,43.98622,-13.29297,-33.55543,43.99609,-13.32407,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163181,2.570334,0.01184754,-33.27345,43.86535,-13.43528,-33.66475,43.98615,-13.29278,-33.55555,43.99602,-13.32397,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163344,2.700041,0.01258384,-33.27354,43.86558,-13.43544,-33.66472,43.9864,-13.2926,-33.55544,43.99607,-13.32321,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.16321,2.861974,0.01334238,-33.27355,43.86538,-13.43526,-33.66458,43.98637,-13.29281,-33.55542,43.99644,-13.32433,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163208,3.027839,0.01392983,-33.27351,43.86532,-13.43528,-33.66473,43.986,-13.29286,-33.55568,43.99633,-13.32521,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.16339,3.161979,0.01448705,-33.2738,43.86546,-13.43533,-33.66498,43.98613,-13.29228,-33.55592,43.99676,-13.32505,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163426,3.296678,0.01516255,-33.27359,43.8652,-13.43547,-33.6647,43.98602,-13.29308,-33.55581,43.99693,-13.32626,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163199,3.465342,0.01599197,-33.27355,43.86545,-13.43526,-33.66471,43.98601,-13.29216,-33.55585,43.99704,-13.32593,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163314,3.622839,0.01665957,-33.27368,43.86538,-13.43531,-33.66454,43.98642,-13.29272,-33.55573,43.99718,-13.32649,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163065,3.754736,0.0173956,-33.2733,43.86562,-13.43526,-33.66444,43.98652,-13.29242,-33.55588,43.99735,-13.32609,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163481,3.888267,0.01838267,-33.27379,43.86546,-13.43545,-33.66486,43.98638,-13.2926,-33.55605,43.99729,-13.32641,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163234,4.018522,0.01935197,-33.27357,43.86537,-13.43528,-33.66434,43.9869,-13.29367,-33.55596,43.99753,-13.32721,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163167,4.155878,0.02016317,-33.27359,43.8652,-13.43517,-33.66488,43.98686,-13.29421,-33.55588,43.99747,-13.32731,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163283,4.313767,0.02104644,-33.27356,43.86543,-13.43534,-33.66503,43.98647,-13.29345,-33.55637,43.99758,-13.32765,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163276,4.445318,0.02201281,-33.27322,43.86535,-13.43553,-33.66444,43.98674,-13.2938,-33.55589,43.99799,-13.32867,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163358,4.575312,0.02296174,-33.27351,43.86533,-13.43545,-33.66447,43.98666,-13.29371,-33.55563,43.99784,-13.32785,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163571,4.711706,0.02369694,-33.27382,43.86532,-13.43552,-33.66484,43.98628,-13.29213,-33.55622,43.99751,-13.32687,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.16341,4.845611,0.02435881,-33.27362,43.8654,-13.43545,-33.66458,43.98613,-13.29181,-33.55595,43.9975,-13.32703,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163293,4.979058,0.02540268,-33.27354,43.86525,-13.43535,-33.66451,43.98607,-13.29146,-33.55598,43.99741,-13.3264,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163175,5.1383,0.02619888,-33.27345,43.86536,-13.43528,-33.66463,43.98622,-13.292,-33.55575,43.99714,-13.32606,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163066,5.27209,0.02716414,-33.27328,43.86542,-13.43525,-33.66463,43.98616,-13.29281,-33.5556,43.99677,-13.32591,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163347,5.432601,0.02832328,-33.27358,43.86553,-13.43542,-33.66474,43.98606,-13.29191,-33.55577,43.99643,-13.32461,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163202,5.563933,0.02895475,-33.27354,43.86546,-13.43527,-33.66485,43.98583,-13.29231,-33.55568,43.99602,-13.32426,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.162997,5.708453,0.02943542,-33.27336,43.86546,-13.43513,-33.66448,43.98626,-13.29265,-33.55511,43.99607,-13.3234,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163116,5.856666,0.03025979,-33.27352,43.86544,-13.43518,-33.6648,43.98619,-13.29207,-33.55544,43.99574,-13.3227,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163089,5.994688,0.03079584,-33.27356,43.86543,-13.43512,-33.66489,43.98612,-13.29255,-33.55533,43.99606,-13.3234,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163264,6.122004,0.03130059,-33.2735,43.8653,-13.43534,-33.66491,43.98627,-13.29268,-33.55557,43.99604,-13.32352,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163255,6.257948,0.03180626,-33.27363,43.86526,-13.43526,-33.66499,43.98618,-13.29282,-33.55539,43.99633,-13.324,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.16341,6.419775,0.0325591,-33.27343,43.86514,-13.43554,-33.66473,43.98626,-13.29291,-33.55537,43.99632,-13.32426,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163292,6.555943,0.03343836,-33.27342,43.86542,-13.43543,-33.66488,43.98619,-13.29326,-33.55557,43.99633,-13.325,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163115,6.691813,0.0343209,-33.27346,43.86536,-13.4352,-33.66479,43.98632,-13.29345,-33.55553,43.99647,-13.32522,0,0,0,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.163207,6.860338,0.0352371,-33.27357,43.86526,-13.43524,-33.66508,43.98618,-13.29294,-33.55555,43.9963,-13.32434,0,0,0,-28.721,44.641,-5.5209
