PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,12.93751,0.02,0,-37.62487,44.02235,-14.88667,-35.16,43.152,-14.71,-35.16,43.152,-14.71,,,,,,,-28.721,44.641,-5.5209
Walk,Complexity,Walk,1,Task1,0,0.7,0.7,19.16916,0.5080533,0.09254143,-37.54856,44.01487,-14.83965,-35.12093,43.33826,-13.76378,-35.21791,43.34092,-13.8635,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,2,Task2,0,0.4,0.4,24.57487,0.904723,0.1537838,-37.55071,44.07224,-14.84261,-35.12093,43.39698,-13.7637,-35.21797,43.39957,-13.86335,,,,,,,-14.911,44.641,-5.3009
Walk,Complexity,Walk,2,Task2,0.5036428,0.4,0.1036428,24.57679,1.038443,0.3300409,-37.55105,44.01324,-14.84306,-35.1211,43.33826,-13.7638,-35.21815,43.34084,-13.86345,,,,,,,-14.911,44.641,-5.3009
Walk,Complexity,Walk,2,Task2,0.5036428,0.4,0.1036428,24.57685,1.168058,0.3306877,-37.55104,44.01317,-14.84321,-35.12103,43.33848,-13.76352,-35.218,43.34118,-13.86325,,,,,,,-14.911,44.641,-5.3009
Walk,Complexity,Walk,2,Task2,0.5036428,0.4,0.1036428,24.57727,1.312325,0.3316629,-37.55141,44.01288,-14.84341,-35.12094,43.33827,-13.76361,-35.21799,43.34103,-13.86315,,,,,,,-14.911,44.641,-5.3009
Walk,Complexity,Walk,3,Task3,0.5036428,0.9,0.3963572,25.84559,1.490316,0.4498524,-37.5515,44.01267,-14.84393,-35.12106,43.33838,-13.76356,-35.21814,43.34109,-13.86315,,,,,,,-13.658,40.852,-5.5109
Walk,Complexity,Walk,3,Task3,0.5036428,0.9,0.3963572,25.8457,1.616585,0.45032,-37.5515,44.01273,-14.8442,-35.1209,43.33842,-13.76368,-35.21794,43.34108,-13.86335,,,,,,,-13.658,40.852,-5.5109
Walk,Complexity,Walk,3,Task3,0.5036428,0.9,0.3963572,25.84576,1.778247,0.4510137,-37.5515,44.01265,-14.84442,-35.121,43.33853,-13.76348,-35.21818,43.34124,-13.86323,,,,,,,-13.658,40.852,-5.5109
Walk,Complexity,Walk,3,Task3,0.5036428,0.9,0.3963572,25.84599,1.91342,0.4515129,-37.55175,44.01251,-14.84447,-35.1209,43.33847,-13.76349,-35.21775,43.34093,-13.86325,,,,,,,-13.658,40.852,-5.5109
